,RADI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,7.61,Valuation,
Price/Sales (TTM),8.19,2.74,Valuation,2.9890510948905105
Price/Book (MRQ),1.84,1.85,Valuation,0.9945945945945945
"PEG Ratio (TTM, GAAP)",,0.04,Valuation,
Gross Profit Margin (TTM),0.9551000000000001,0.5695,Profitability,1.6770851624231784
Operating Profit Margin (TTM),-0.519,0.0719,Profitability,-7.218358831710709
Net Profit Margin (TTM),0.22510000000000002,0.05280000000000001,Profitability,4.263257575757575
Annual Dividend Yield,,0.0579,Dividend,
Dividend Change %,,0.010700000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0122,Dividend,
EPS Growth (MRQ),2.0677000000000003,0.1478,Gowth rates,13.98985115020298
EPS Growth (TTM),0.8905,2.0171,Gowth rates,0.44147538545436515
Revenue Growth (MRQ),0.0837,0.0106,Gowth rates,7.896226415094339
Revenue Growth (TTM),0.3455,-0.0422,Gowth rates,-8.187203791469193
Return On Equity (TTM),-0.023,0.1605,Effectiveness,-0.14330218068535824
Return On Assets (TTM),0.013600000000000001,0.0242,Effectiveness,0.5619834710743802
Return On Investment (TTM),0.014499999999999999,0.0487,Effectiveness,0.297741273100616
Revenue Per Employee (TTM),381623.0,880071.0,Effectiveness,0.43362751414374523
Total Debt/Total Capital (MRQ),0.6770999999999999,0.5642,Financial strength,1.2001063452676355
Change in Debt/Total Capital Quarter over Quarter,0.0003,-0.0006,Financial strength,-0.5
Quick Ratio (MRQ),,0.68,Financial strength,
Interest Coverage (MRQ),,6.5,Financial strength,
