,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,9.3,9.4,14.77,18.79,17.1,,,,,
low,9.15,8.21,6.57,10.62,7.97,,,,,
change,-0.015600000000000001,0.1178,0.8099,0.2262,-0.3396,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,456.0,566.0,488.0,404.0,Balance Sheet
"Total Receivables, Net",,,,,,8.0,10.0,8.0,7.0,Balance Sheet
Prepaid Expenses,,,,,,21.0,22.0,21.0,27.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,2.0,2.0,2.0,3.0,Balance Sheet
Total Current Assets,,,,,,487.0,599.0,520.0,441.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,1579.0,1660.0,1774.0,1781.0,Balance Sheet
Accumulated Depreciation,,,,,,-101.0,-119.0,-128.0,-140.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,1480.0,1543.0,1647.0,1642.0,Balance Sheet
"Goodwill, Net",,,,,,81.0,81.0,81.0,81.0,Balance Sheet
Intangibles - Gross,,,,,,10.0,11.0,12.0,12.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-2.0,-3.0,-3.0,-3.0,Balance Sheet
Intangibles - Net,,,,,,8.0,8.0,9.0,9.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,0.0,1.0,1.0,0.0,Balance Sheet
Restricted Cash - LT,,,,,,174.0,225.0,125.0,110.0,Balance Sheet
Other Long Term Assets,,,,,,8.0,7.0,31.0,21.0,Balance Sheet
Total Assets,,,,,,2237.0,2463.0,2412.0,2303.0,Balance Sheet
Accounts Payable,,,,,,2.0,4.0,5.0,2.0,Balance Sheet
Payable/Accrued,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Accrued Expenses,,,,,,22.0,19.0,26.0,29.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,14.0,18.0,17.0,22.0,Balance Sheet
Income Taxes Payable,,,,,,12.0,15.0,13.0,13.0,Balance Sheet
Other Current Liabilities,,,,,,24.0,28.0,25.0,24.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,36.0,43.0,38.0,36.0,Balance Sheet
Total Current Liabilities,,,,,,76.0,87.0,87.0,90.0,Balance Sheet
Long Term Debt,,,,,,1272.0,1493.0,1481.0,1412.0,Balance Sheet
Capital Lease Obligations,,,,,,38.0,33.0,31.0,27.0,Balance Sheet
Total Long Term Debt,,,,,,1310.0,1526.0,1512.0,1439.0,Balance Sheet
Total Debt,,,,,,1324.0,1544.0,1529.0,1461.0,Balance Sheet
Deferred Income Tax,,,,,,62.0,77.0,74.0,68.0,Balance Sheet
Minority Interest,,,,,,51.0,51.0,52.0,53.0,Balance Sheet
"Other Liabilities, Total",,,,,,5.0,5.0,5.0,10.0,Balance Sheet
Total Liabilities,,,,,,1504.0,1745.0,1729.0,1660.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
