,AVGO
% Above Low,0.2767
% Held by Institutions,0.7768
52-Wk Range,['415.07 - 677.76']
Annual Dividend $,16.4
Annual Dividend %,0.030899999999999997
Ask,529.9
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.1
Bid,529.51
Bid Size,200.0
Closing Price,529.91
Day Change $,-3.73
Day Change %,-0.006999999999999999
Day High,534.58
Day Low,529.48
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",22.96
Ex-dividend,2022-09-21 00:00:00
Ex-dividend Date,09/21/22
Historical Volatility,0.379
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,214.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.08
Prev Close,533.64
Short Interest,0.014199999999999999
Today's Open,530.69
Volume,745539.0
Volume 10-day Avg,2044622.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,0.3135349172066235
Growth 1yr High Est,0.33216538192011225
Growth 1yr Consensus Est,0.3228501495633679
Growth 2yr Low Est,0.1763618680305521
Growth 2yr High Est,0.22171130747767842
Growth 2yr Consensus Est,0.19903658775411526
Growth 5yr Low Est,0.16788263497727174
Growth 5yr High Est,0.185932939428541
Growth 5yr Consensus Est,0.17690778720290637
Growth 5yr Actual/Est,0.18087919126436774
Growth 3yr Historic,0.07621335629852832
Price/Earnings (TTM),23.08242
Price/Sales (TTM),7.10018
Price/Book (MRQ),10.2804
Price/Cash Flow (TTM),14.9012
5yr Low,155.67
5yr High,677.76
5yr Avg Return,0.13861666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.1569934
Dividend Growth 5yr,0.49317999999999995
Short Int Current Month,5897222.0
Short Int Prev Month,4995342.0
Short Int Pct of Float,0.0142034
Days to Cover,2.54267
Float,414.9355
Shares Outstanding,424.4751
Institutions Holding Shares,2618.0
FCF Growth 5yr,0.35119867075064026
"Price/Earnings (TTM, GAAP)",23.08
"PEG Ratio (TTM, GAAP)",1.52
Gross Profit Margin (TTM),0.6569
Operating Profit Margin (TTM),0.4047
Net Profit Margin (TTM),0.3196
Annual Dividend Yield,0.0309
Dividend Change %,0.1077
"Dividend Growth Rate, 3 Years",0.2718
EPS Growth (MRQ),0.17579999999999998
EPS Growth (TTM),0.7007
Revenue Growth (MRQ),0.0446
Revenue Growth (TTM),0.195
Return On Equity (TTM),0.43460000000000004
Return On Assets (TTM),0.1376
Return On Investment (TTM),0.15109999999999998
Revenue Per Employee (TTM),1584000.0
Total Debt/Total Capital (MRQ),0.6544
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),2.05
Interest Coverage (MRQ),9.22
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,2022-05-23 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
marketEdge since,2020-06-05 00:00:00
