,HZNP
% Above Low,0.35340000000000005
% Held by Institutions,0.9466
52-Wk Range,['57.84 - 117.49']
Annual Dividend $,
Annual Dividend %,
Ask,82.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,75.0
Bid Size,200.0
Closing Price,78.28
Day Change $,0.75
Day Change %,0.0097
Day High,78.45
Day Low,77.56
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.24
Ex-dividend Date,No dividend
Historical Volatility,0.42700000000000005
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,17.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.18
Prev Close,77.53
Short Interest,0.031200000000000002
Today's Open,77.85
Volume,534719.0
Volume 10-day Avg,1658583.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.004555808656036442
Growth 1yr High Est,-0.02191235059760943
Growth 1yr Consensus Est,-0.008678270970786495
Growth 2yr Low Est,0.007946838568380965
Growth 2yr High Est,0.056253600668608794
Growth 2yr Consensus Est,0.03210021961849488
Growth 5yr Low Est,0.3671019109043021
Growth 5yr High Est,0.4217165439240479
Growth 5yr Consensus Est,0.39440922741417506
Growth 5yr Actual/Est,0.32966899116822346
Growth 3yr Historic,0.297680412371134
Price/Earnings (TTM),24.18124
Price/Sales (TTM),4.65235
Price/Book (MRQ),3.6458
Price/Cash Flow (TTM),15.44598
5yr Low,12.55
5yr High,120.54
5yr Avg Return,0.42050000000000004
EPS Growth 5yr,
Revenue Growth 5yr,0.2688185
Dividend Growth 5yr,
Short Int Current Month,6988148.0
Short Int Prev Month,7516546.0
Short Int Pct of Float,0.0312045
Days to Cover,2.15411
Float,223.9644
Shares Outstanding,226.6215
Institutions Holding Shares,799.0
FCF Growth 5yr,0.5287479821203888
"Price/Earnings (TTM, GAAP)",24.18
"PEG Ratio (TTM, GAAP)",2.0
Gross Profit Margin (TTM),0.7539
Operating Profit Margin (TTM),0.2223
Net Profit Margin (TTM),0.2006
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7018000000000001
EPS Growth (TTM),0.4449
Revenue Growth (MRQ),-0.01
Revenue Growth (TTM),0.4914
Return On Equity (TTM),0.1696
Return On Assets (TTM),0.0897
Return On Investment (TTM),0.0992
Revenue Per Employee (TTM),2017520.0
Total Debt/Total Capital (MRQ),0.3417
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),3.79
Interest Coverage (MRQ),6.88
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-11-23 00:00:00
researchTeam since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
