,HZNP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.18,471.78,Valuation,0.051252702530840646
Price/Sales (TTM),4.65,45.03,Valuation,0.10326449033977349
Price/Book (MRQ),3.65,12.61,Valuation,0.28945281522601113
"PEG Ratio (TTM, GAAP)",2.0,173.15,Valuation,0.011550678602367888
Gross Profit Margin (TTM),0.7539,0.5874,Profitability,1.283452502553626
Operating Profit Margin (TTM),0.2223,-4.7459,Profitability,-0.046840430687540825
Net Profit Margin (TTM),0.2006,-4.5467,Profitability,-0.04411991114434644
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.7018000000000001,-0.0014000000000000002,Gowth rates,501.2857142857143
EPS Growth (TTM),0.4449,0.027200000000000002,Gowth rates,16.356617647058822
Revenue Growth (MRQ),-0.01,1.3963999999999999,Gowth rates,-0.007161271841879119
Revenue Growth (TTM),0.4914,0.9747,Gowth rates,0.5041551246537396
Return On Equity (TTM),0.1696,0.1967,Effectiveness,0.8622267412302999
Return On Assets (TTM),0.0897,0.0016,Effectiveness,56.0625
Return On Investment (TTM),0.0992,0.0219,Effectiveness,4.529680365296803
Revenue Per Employee (TTM),2017520.0,1476201.0,Effectiveness,1.3666973535446731
Total Debt/Total Capital (MRQ),0.3417,0.4675,Financial strength,0.7309090909090908
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.0036,Financial strength,-0.22222222222222224
Quick Ratio (MRQ),3.79,2.06,Financial strength,1.8398058252427185
Interest Coverage (MRQ),6.88,2.69,Financial strength,2.557620817843866
