,ALEC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),4.81,45.03,Valuation,0.10681767710415277
Price/Book (MRQ),2.53,12.61,Valuation,0.20063441712926247
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-1.0372,-4.7459,Profitability,0.2185465349038117
Net Profit Margin (TTM),-1.0059,-4.5467,Profitability,0.2212373809576176
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-5.1563,-0.0014000000000000002,Gowth rates,3683.071428571428
EPS Growth (TTM),-2.6707,0.027200000000000002,Gowth rates,-98.1875
Revenue Growth (MRQ),-0.8140000000000001,1.3963999999999999,Gowth rates,-0.5829275279289603
Revenue Growth (TTM),-0.3272,0.9747,Gowth rates,-0.3356930337539756
Return On Equity (TTM),-0.4549,0.1967,Effectiveness,-2.3126588713777325
Return On Assets (TTM),-0.1584,0.0016,Effectiveness,-99.0
Return On Investment (TTM),-0.1917,0.0219,Effectiveness,-8.753424657534246
Revenue Per Employee (TTM),640245.0,1476201.0,Effectiveness,0.4337112628971258
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
