,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,27.0,35.93,43.32,21.26,,,,,
low,13.64,9.12,14.66,6.85,,,,,
change,-0.0786,-0.1275,0.35590000000000005,-0.6258,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,329.0,455.0,172.0,184.0,Balance Sheet
Short Term Investments,,,,,406.0,414.0,637.0,574.0,Balance Sheet
Cash and Short Term Invs,,,,,735.0,869.0,809.0,758.0,Balance Sheet
"Total Receivables, Net",,,,,7.0,13.0,9.0,6.0,Balance Sheet
Prepaid Expenses,,,,,7.0,10.0,9.0,10.0,Balance Sheet
Total Current Assets,,,,,750.0,891.0,827.0,775.0,Balance Sheet
Buildings,,,,,26.0,,,,Balance Sheet
Machinery/Equipment,,,,,16.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,,33.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,75.0,,,,Balance Sheet
Accumulated Depreciation,,,,,-17.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,58.0,56.0,55.0,55.0,Balance Sheet
Other Long Term Assets,,,,,6.0,6.0,6.0,6.0,Balance Sheet
Total Assets,,,,,815.0,954.0,890.0,837.0,Balance Sheet
Accounts Payable,,,,,5.0,7.0,5.0,5.0,Balance Sheet
Accrued Expenses,,,,,44.0,41.0,38.0,37.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,91.0,96.0,107.0,120.0,Balance Sheet
Total Current Liabilities,,,,,140.0,143.0,149.0,161.0,Balance Sheet
Total Long Term Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,374.0,544.0,452.0,423.0,Balance Sheet
Total Liabilities,,,,,514.0,687.0,601.0,584.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,748.0,762.0,776.0,787.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-446.0,-491.0,-481.0,-527.0,Balance Sheet
"Other Equity, Total",,,,,-1.0,-4.0,-6.0,-7.0,Balance Sheet
Total Equity,,,,,301.0,268.0,289.0,253.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,815.0,954.0,890.0,837.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,82.0,82.0,83.0,83.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,13994.0,24474.0,79851.0,14852.0,Income Statement
Selling/Gen/Admin Expense,,,,,10768.0,10241.0,10108.0,8288.0,Income Statement
Labor & Related Expense,,,,,6165.0,5313.0,5734.0,5964.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,16933.0,15554.0,15842.0,14252.0,Income Statement
Research & Development,,,,,52790.0,53043.0,54534.0,48348.0,Income Statement
Total Operating Expense,,,,,69723.0,68597.0,70376.0,62600.0,Income Statement
Total Operating Income,,,,,-55729.0,-44123.0,9475.0,-47748.0,Income Statement
"Other, Net",,,,,121.0,264.0,1450.0,2333.0,Income Statement
Income Before Tax,,,,,-55608.0,-43859.0,10925.0,-45415.0,Income Statement
Income Tax - Total,,,,,,0.0,0.0,0.0,Income Statement
Income After Tax,,,,,-55608.0,-43859.0,10925.0,-45415.0,Income Statement
Net Inc Before Extra Items,,,,,-55608.0,-43859.0,10925.0,-45415.0,Income Statement
Total Extraordinary Items,,,,,,-758.0,-1042.0,-733.0,Income Statement
Total Net Income,,,,,-55608.0,-44617.0,9883.0,-46148.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,-55608.0,-43859.0,10925.0,-45415.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,-55608.0,-44617.0,9883.0,-46148.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,81521.0,82102.0,82395.0,82603.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,-0.68,-0.53,0.13,-0.55,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,-0.68,-0.54,0.12,-0.56,Income Statement
Diluted Weighted Average Shares,,,,,81521.0,82102.0,82588.0,82603.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,-0.68,-0.53,0.13,-0.55,Income Statement
Diluted EPS Incl. Extra. Items,,,,,-0.68,-0.54,0.12,-0.56,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,1594.0,1589.0,1384.0,1347.0,Income Statement
Normalzd Income Before Tax,,,,,-55608.0,-43859.0,10925.0,-45415.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,0.0,0.0,0.0,Income Statement
Normalized Income After Tax,,,,,-55608.0,-43859.0,10925.0,-45415.0,Income Statement
Normalzd Inc Avail to Common,,,,,-55608.0,-43859.0,10925.0,-45415.0,Income Statement
Basic Normalized EPS,,,,,-0.68,-0.53,0.13,-0.55,Income Statement
Diluted Normalized EPS,,,,,-0.68,-0.53,0.13,-0.55,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,-36329.0,-44617.0,-34734.0,-80882.0,Cash Flow
Depreciation/Depletion,,,,,6329.0,1589.0,2973.0,4320.0,Cash Flow
Unusual Items,,,,,0.0,,,,Cash Flow
Other Non-Cash Items,,,,,44870.0,13179.0,26478.0,37491.0,Cash Flow
Non-Cash Items,,,,,44870.0,13179.0,26478.0,37491.0,Cash Flow
Accounts Receivable,,,,,-7391.0,-5428.0,-1425.0,900.0,Cash Flow
Prepaid Expenses,,,,,1132.0,-2465.0,-2279.0,-3095.0,Cash Flow
Other Assets,,,,,-2957.0,-358.0,-345.0,-210.0,Cash Flow
Accounts Payable,,,,,1917.0,2043.0,-530.0,-383.0,Cash Flow
Accrued Expenses,,,,,-1621.0,-4378.0,-8239.0,-10443.0,Cash Flow
Changes in Working Capital,,,,,283681.0,164940.0,82932.0,67667.0,Cash Flow
Total Cash from Operations,,,,,298551.0,135091.0,77649.0,28596.0,Cash Flow
Capital Expenditures,,,,,-3247.0,-692.0,-1436.0,-3351.0,Cash Flow
Sale/Maturity of Investment,,,,,296986.0,18700.0,84801.0,220301.0,Cash Flow
Purchase of Investments,,,,,-343402.0,-30114.0,-321290.0,-394345.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-46416.0,-11414.0,-236489.0,-174044.0,Cash Flow
Total Cash from Investing,,,,,-49663.0,-12106.0,-237925.0,-177395.0,Cash Flow
"Common Stock, Net",,,,,0.0,,,,Cash Flow
Options Exercised,,,,,30295.0,2483.0,3389.0,3878.0,Cash Flow
Total Cash From Financing,,,,,30295.0,2483.0,3389.0,3878.0,Cash Flow
Net Change in Cash,,,,,279183.0,125468.0,-156887.0,-144921.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,51441.0,330624.0,330624.0,330624.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,330624.0,456092.0,173737.0,185703.0,Cash Flow
"Depreciation, Supplemental",,,,,6329.0,1589.0,2973.0,4320.0,Cash Flow
Free Cash Flow,,,,,295304.0,134399.0,76213.0,25245.0,
FCF Growth,,,,,,-0.5448791753582749,-0.43293476885988735,-0.6687572986235943,
