,ALEC
% Above Low,0.1322
% Held by Institutions,0.7965000000000001
52-Wk Range,['6.85 - 24.01']
Annual Dividend $,
Annual Dividend %,
Ask,11.0
Ask Size,1400.0
B/A Ratio,0.5
B/A Size,700x1400
Beta,0.9
Bid,6.41
Bid Size,700.0
Closing Price,7.75
Day Change $,-0.02
Day Change %,-0.0026
Day High,7.92
Day Low,7.71
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.63
Ex-dividend Date,No dividend
Historical Volatility,0.737
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,640.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.77
Short Interest,0.069
Today's Open,7.79
Volume,84384.0
Volume 10-day Avg,582083.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.32432432432432434
Growth 1yr High Est,-0.5833333333333333
Growth 1yr Consensus Est,-0.4538288288288288
Growth 2yr Low Est,0.32926640926640927
Growth 2yr High Est,-0.7416666666666667
Growth 2yr Consensus Est,-0.20620012870012872
Growth 5yr Low Est,0.2195109395109395
Growth 5yr High Est,-0.49444444444444446
Growth 5yr Consensus Est,-0.13746675246675247
Growth 5yr Actual/Est,0.47668743630230076
Growth 3yr Historic,-0.09589449815013723
Price/Earnings (TTM),
Price/Sales (TTM),4.81289
Price/Book (MRQ),2.53229
Price/Cash Flow (TTM),
5yr Low,6.85
5yr High,43.32
5yr Avg Return,-0.11899999999999998
EPS Growth 5yr,
Revenue Growth 5yr,2.46267
Dividend Growth 5yr,
Short Int Current Month,5052151.0
Short Int Prev Month,4995279.0
Short Int Pct of Float,0.0690355
Days to Cover,7.65155
Float,73.2896
Shares Outstanding,82.70154
Institutions Holding Shares,240.0
FCF Growth 5yr,-0.5488570809472523
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-1.0372
Net Profit Margin (TTM),-1.0059
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-5.1563
EPS Growth (TTM),-2.6707
Revenue Growth (MRQ),-0.8140000000000001
Revenue Growth (TTM),-0.3272
Return On Equity (TTM),-0.4549
Return On Assets (TTM),-0.1584
Return On Investment (TTM),-0.1917
Revenue Per Employee (TTM),640245.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2020-05-14 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,2022-11-14 00:00:00
newConstructs since,
marketEdge opinion since,
