,PCRX
% Above Low,0.0765
% Held by Institutions,1.1091
52-Wk Range,['46.03 - 82.16']
Annual Dividend $,
Annual Dividend %,
Ask,49.61
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,49.48
Bid Size,100.0
Day Change $,-0.14
Day Change %,-0.0028000000000000004
Day High,49.82
Day Low,49.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.4
Ex-dividend Date,No dividend
Historical Volatility,0.375
Last (size),7.0
Last (time),10:16a ET 11/28/22
Market Cap,2.3B
"P/E Ratio (TTM, GAAP)",125.6
Prev Close,49.69
Price,49.55
Short Interest,0.1217
Today's Open,49.11
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.4831460674157304
Growth 1yr High Est,0.39393939393939403
Growth 1yr Consensus Est,0.4385427306775622
Growth 2yr Low Est,0.16392151855635
Growth 2yr High Est,0.4112554112554112
Growth 2yr Consensus Est,0.28758846490588064
Growth 5yr Low Est,0.1092810123709
Growth 5yr High Est,0.2741702741702741
Growth 5yr Consensus Est,0.19172564327058708
Growth 5yr Actual/Est,0.2584396062154871
Growth 3yr Historic,0.17020483919039753
Price/Earnings (TTM),125.6003
Price/Sales (TTM),3.48573
Price/Book (MRQ),2.95927
Price/Cash Flow (TTM),23.98713
5yr Low,26.95
5yr High,82.16
5yr Avg Return,0.027866666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.1440012
Dividend Growth 5yr,
Short Int Current Month,5507918.0
Short Int Prev Month,5466278.0
Short Int Pct of Float,0.1216578
Days to Cover,11.46656
Float,45.35457
Shares Outstanding,45.88209
Institutions Holding Shares,360.0
FCF Growth 5yr,0.32712392812966473
"Price/Earnings (TTM, GAAP)",125.6
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7303000000000001
Operating Profit Margin (TTM),0.1133
Net Profit Margin (TTM),0.0319
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.0399
EPS Growth (TTM),-0.7084999999999999
Revenue Growth (MRQ),-0.0115
Revenue Growth (TTM),0.2742
Return On Equity (TTM),0.0281
Return On Assets (TTM),0.013500000000000002
Return On Investment (TTM),0.015300000000000001
Revenue Per Employee (TTM),938396.0
Total Debt/Total Capital (MRQ),0.4927
Change in Debt/Total Capital Quarter over Quarter,0.0021
Quick Ratio (MRQ),3.32
Interest Coverage (MRQ),2.53
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-10-31 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
