,HOMB
% Below High,0.026699999999999998
% Held by Institutions,0.6124
52-Wk Range,['19.83 - 26.20']
Annual Dividend $,0.66
Annual Dividend %,0.0259
Ask,26.67
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.2
Bid,22.31
Bid Size,400.0
Closing Price,25.5
Day Change $,0.32
Day Change %,0.0127
Day High,25.55
Day Low,25.22
Dividend Pay Date,2022-12-07 00:00:00
"EPS (TTM, GAAP)",1.45
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.298
Last (size),90.0
Last (time),5:00p ET 11/25/22
Market Cap,5.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.6
Prev Close,25.18
Short Interest,0.0344
Today's Open,25.4
Volume,200847.0
Volume 10-day Avg,810728.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.19999999999999996
Growth 1yr High Est,-0.17098445595854916
Growth 1yr Consensus Est,-0.18549222797927456
Growth 2yr Low Est,0.09736842105263166
Growth 2yr High Est,0.11763277202072542
Growth 2yr Consensus Est,0.10750059653667854
Growth 5yr Low Est,0.07809597523219819
Growth 5yr High Est,0.0893396418243162
Growth 5yr Consensus Est,0.08371780852825719
Growth 5yr Actual/Est,0.11453322515237777
Growth 3yr Historic,0.06093819475322362
Price/Earnings (TTM),17.59567
Price/Sales (TTM),6.24818
Price/Book (MRQ),1.50508
Price/Cash Flow (TTM),17.84299
5yr Low,9.71
5yr High,29.76
5yr Avg Return,0.028099999999999993
EPS Growth 5yr,0.089789
Revenue Growth 5yr,0.0744731
Dividend Growth 5yr,0.1033302
Short Int Current Month,6523489.0
Short Int Prev Month,6736243.0
Short Int Pct of Float,0.0343754
Days to Cover,6.53263
Float,189.6447
Shares Outstanding,203.9712
Institutions Holding Shares,330.0
FCF Growth 5yr,0.3644721312386902
"Price/Earnings (TTM, GAAP)",17.6
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.40850000000000003
Net Profit Margin (TTM),0.3159
Annual Dividend Yield,0.0259
Dividend Change %,0.056600000000000004
"Dividend Growth Rate, 3 Years",0.0678
EPS Growth (MRQ),5.8324
EPS Growth (TTM),-0.26920000000000005
Revenue Growth (MRQ),0.1195
Revenue Growth (TTM),0.1815
Return On Equity (TTM),0.0849
Return On Assets (TTM),0.0129
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-08-17 00:00:00
researchTeam since,2022-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
