,IDYA
% Below High,0.2824
% Held by Institutions,0.9436
52-Wk Range,['8.14 - 24.50']
Annual Dividend $,
Annual Dividend %,
Ask,18.98
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,1.0
Bid,16.81
Bid Size,100.0
Closing Price,17.58
Day Change $,0.1
Day Change %,0.005699999999999999
Day High,17.84
Day Low,17.21
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.37
Ex-dividend Date,No dividend
Historical Volatility,0.8170000000000001
Last (size),297.0
Last (time),1:00p ET 11/25/22
Market Cap,845.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,17.48
Short Interest,0.1035
Today's Open,17.34
Volume,176065.0
Volume 10-day Avg,552799.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-14 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.8209876543209877
Growth 2yr High Est,0.5673758865248228
Growth 2yr Consensus Est,0.6941817704229053
Growth 5yr Low Est,0.8209876543209877
Growth 5yr High Est,0.5673758865248228
Growth 5yr Consensus Est,0.6941817704229053
Growth 5yr Actual/Est,0.058767549573020744
Growth 3yr Historic,-0.14404761904761906
Price/Earnings (TTM),
Price/Sales (TTM),16.96046
Price/Book (MRQ),2.29257
Price/Cash Flow (TTM),
5yr Low,2.95
5yr High,28.0
5yr Avg Return,0.22630000000000003
Short Int Current Month,4888011.0
Short Int Prev Month,4831402.0
Short Int Pct of Float,0.1034947
Days to Cover,7.41031
Float,47.22958
Shares Outstanding,48.1135
Institutions Holding Shares,162.0
FCF Growth 5yr,0.34634812620664923
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-1.0914
Net Profit Margin (TTM),-1.056
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.0689
EPS Growth (TTM),-0.24280000000000002
Revenue Growth (MRQ),4.0759
Revenue Growth (TTM),0.40280000000000005
Return On Equity (TTM),-0.1535
Return On Assets (TTM),-0.13
Return On Investment (TTM),-0.14250000000000002
Revenue Per Employee (TTM),615691.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2021-11-29 00:00:00
researchTeam since,2021-11-29 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
