,IDYA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),16.96,45.03,Valuation,0.3766377970242061
Price/Book (MRQ),2.29,12.61,Valuation,0.1816019032513878
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-1.0914,-4.7459,Profitability,0.2299669188141343
Net Profit Margin (TTM),-1.056,-4.5467,Profitability,0.2322563617568786
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),1.0689,-0.0014000000000000002,Gowth rates,-763.4999999999999
EPS Growth (TTM),-0.24280000000000002,0.027200000000000002,Gowth rates,-8.926470588235293
Revenue Growth (MRQ),4.0759,1.3963999999999999,Gowth rates,2.91886279003151
Revenue Growth (TTM),0.40280000000000005,0.9747,Gowth rates,0.4132553606237817
Return On Equity (TTM),-0.1535,0.1967,Effectiveness,-0.7803762074224707
Return On Assets (TTM),-0.13,0.0016,Effectiveness,-81.25
Return On Investment (TTM),-0.14250000000000002,0.0219,Effectiveness,-6.506849315068494
Revenue Per Employee (TTM),615691.0,1476201.0,Effectiveness,0.417078026637294
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
