,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,16.9,19.97,28.0,24.09,,,,,
low,4.89,2.95,13.16,8.14,,,,,
change,-0.4643,0.9499,0.6862,-0.2666,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,92046.0,55291.0,49106.0,101954.0,Balance Sheet
Short Term Investments,,,,,154724.0,197308.0,219514.0,284290.0,Balance Sheet
Cash and Short Term Invs,,,,,246770.0,252599.0,268620.0,386244.0,Balance Sheet
"Total Receivables, Net",,,,,1103.0,697.0,288.0,3449.0,Balance Sheet
Prepaid Expenses,,,,,3123.0,2753.0,3281.0,3744.0,Balance Sheet
Total Current Assets,,,,,250996.0,256049.0,272189.0,393437.0,Balance Sheet
Buildings,,,,,3133.0,3176.0,3301.0,3321.0,Balance Sheet
Machinery/Equipment,,,,,6761.0,7688.0,9802.0,9852.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,4364.0,4019.0,3710.0,3354.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,14258.0,14883.0,16813.0,16527.0,Balance Sheet
Accumulated Depreciation,,,,,-5597.0,-6055.0,-6446.0,-7000.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,8661.0,8828.0,10367.0,9527.0,Balance Sheet
Long Term Investments,,,,,121293.0,93628.0,55171.0,7691.0,Balance Sheet
Other Long Term Assets,,,,,291.0,256.0,174.0,146.0,Balance Sheet
Total Assets,,,,,381347.0,358867.0,338007.0,410907.0,Balance Sheet
Accounts Payable,,,,,2100.0,3364.0,4227.0,3645.0,Balance Sheet
Accrued Expenses,,,,,14019.0,14369.0,18013.0,18815.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,29040.0,39224.0,35849.0,10267.0,Balance Sheet
Total Current Liabilities,,,,,45159.0,56957.0,58089.0,32727.0,Balance Sheet
Total Long Term Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
