,DK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.22,9.13,Valuation,0.7907995618838991
Price/Sales (TTM),0.12,7.57,Valuation,0.015852047556142668
Price/Book (MRQ),2.03,4.65,Valuation,0.43655913978494615
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.0993,0.35119999999999996,Profitability,0.282744874715262
Operating Profit Margin (TTM),0.0309,0.192,Profitability,0.1609375
Net Profit Margin (TTM),0.0194,0.0358,Profitability,0.5418994413407822
Annual Dividend Yield,0.024900000000000002,0.0379,Dividend,0.6569920844327177
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),-0.9794,2.3421000000000003,Gowth rates,-0.4181717262285982
EPS Growth (TTM),1.8116,7.2215,Gowth rates,0.2508620092778509
Revenue Growth (MRQ),-0.1099,0.7168000000000001,Gowth rates,-0.15332031249999997
Revenue Growth (TTM),1.0031999999999999,47.807,Gowth rates,0.020984374673165013
Return On Equity (TTM),0.3308,0.3993,Effectiveness,0.8284497871274731
Return On Assets (TTM),0.0484,0.15810000000000002,Effectiveness,0.3061353573687539
Return On Investment (TTM),0.0882,0.2237,Effectiveness,0.39427805096110863
Revenue Per Employee (TTM),5698853.0,7554984.0,Effectiveness,0.754317017746166
Total Debt/Total Capital (MRQ),0.6806,0.3658,Financial strength,1.8605795516675778
Change in Debt/Total Capital Quarter over Quarter,-0.0001,-0.002,Financial strength,0.05
Quick Ratio (MRQ),0.63,0.96,Financial strength,0.65625
Interest Coverage (MRQ),2.23,13.28,Financial strength,0.16792168674698796
