,AFL
% Below High,0.0028000000000000004
% Held by Institutions,0.5664
52-Wk Range,['52.07 - 72.70']
Annual Dividend $,1.68
Annual Dividend %,0.0232
Ask,72.82
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.9
Bid,72.55
Bid Size,200.0
Closing Price,72.5
Day Change $,0.5
Day Change %,0.0069
Day High,72.7
Day Low,72.1
Dividend Pay Date,2023-03-01 00:00:00
"EPS (TTM, GAAP)",7.83
Ex-dividend,2023-02-14 00:00:00
Ex-dividend Date,02/14/23
Historical Volatility,0.24300000000000002
Last (size),21.0
Last (time),5:00p ET 11/25/22
Market Cap,45.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.26
Prev Close,72.0
Short Interest,0.0166
Today's Open,72.19
Volume,1048083.0
Volume 10-day Avg,2808733.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.072072072072072
Growth 1yr High Est,-0.11853088480801333
Growth 1yr Consensus Est,-0.09530147844004266
Growth 2yr Low Est,-0.031181667103997168
Growth 2yr High Est,-0.014757866646430973
Growth 2yr Consensus Est,-0.02296976687521407
Growth 5yr Low Est,0.047318124693070396
Growth 5yr High Est,0.07314239690534685
Growth 5yr Consensus Est,0.060230260799208624
Growth 5yr Actual/Est,0.05923224507778807
Growth 3yr Historic,0.07867444056960188
Price/Earnings (TTM),9.25593
Price/Sales (TTM),2.15404
Price/Book (MRQ),1.87274
Price/Cash Flow (TTM),
5yr Low,23.07
5yr High,72.54
5yr Avg Return,0.10475
EPS Growth 5yr,0.1475193
Revenue Growth 5yr,-0.0047799999999999995
Dividend Growth 5yr,0.09723380000000001
Short Int Current Month,9320706.0
Short Int Prev Month,9511198.0
Short Int Pct of Float,0.0165597
Days to Cover,2.87332
Float,563.1813
Shares Outstanding,621.7886
Institutions Holding Shares,1489.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",9.26
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2647
Net Profit Margin (TTM),0.2415
Annual Dividend Yield,0.0232
Dividend Change %,0.1786
"Dividend Growth Rate, 3 Years",0.0827
EPS Growth (MRQ),0.1704
EPS Growth (TTM),0.2704
Revenue Growth (MRQ),-0.10740000000000001
Revenue Growth (TTM),-0.0733
Return On Equity (TTM),0.1752
Return On Assets (TTM),0.035
Return On Investment (TTM),
Revenue Per Employee (TTM),1681369.0
Total Debt/Total Capital (MRQ),0.2346
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),24.24
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-20 00:00:00
cfra since,2018-10-23 00:00:00
ford since,2022-09-30 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-10-08 00:00:00
