,WCC
% Below High,0.1567
% Held by Institutions,0.9451
52-Wk Range,['99.00 - 147.05']
Annual Dividend $,
Annual Dividend %,
Ask,147.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.0
Bid,98.41
Bid Size,100.0
Closing Price,124.01
Day Change $,-3.79
Day Change %,-0.0297
Day High,127.07
Day Low,123.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",14.5
Ex-dividend Date,No dividend
Historical Volatility,0.49600000000000005
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,6.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.82
Prev Close,127.8
Short Interest,0.0366
Today's Open,126.04
Volume,286572.0
Volume 10-day Avg,454942.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,2.07378640776699
Growth 1yr High Est,2.0661625708884688
Growth 1yr Consensus Est,2.0699744893277296
Growth 2yr Low Est,0.9159203674968873
Growth 2yr High Est,1.0740800523986116
Growth 2yr Consensus Est,0.9950002099477495
Growth 5yr Low Est,0.45796018374844366
Growth 5yr High Est,0.5370400261993058
Growth 5yr Consensus Est,0.4975001049738748
Growth 5yr Actual/Est,0.43934554637554346
Growth 3yr Historic,0.2810343689491287
Price/Earnings (TTM),8.81638
Price/Sales (TTM),0.3137
Price/Book (MRQ),1.54702
Price/Cash Flow (TTM),6.89184
5yr Low,13.52
5yr High,147.05
5yr Avg Return,0.15633333333333332
EPS Growth 5yr,0.3012352
Revenue Growth 5yr,0.19951519999999998
Dividend Growth 5yr,
Short Int Current Month,1606841.0
Short Int Prev Month,1322882.0
Short Int Pct of Float,0.0366045
Days to Cover,2.00156
Float,37.11134
Shares Outstanding,50.84367
Institutions Holding Shares,479.0
FCF Growth 5yr,-5.128845180730327
"Price/Earnings (TTM, GAAP)",8.82
"PEG Ratio (TTM, GAAP)",0.88
Gross Profit Margin (TTM),0.21489999999999998
Operating Profit Margin (TTM),0.0616
Net Profit Margin (TTM),0.0391
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1211
EPS Growth (TTM),1.8906
Revenue Growth (MRQ),-0.0069
Revenue Growth (TTM),0.184
Return On Equity (TTM),0.1931
Return On Assets (TTM),0.061
Return On Investment (TTM),0.0816
Revenue Per Employee (TTM),1150752.0
Total Debt/Total Capital (MRQ),0.5566
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),1.24
Interest Coverage (MRQ),5.35
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2021-06-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
