,WCC
Price/Earnings (TTM),8.81638
Price/Sales (TTM),0.3137
Price/Book (MRQ),1.54702
Price/Cash Flow (TTM),6.89184
5yr Low,13.52
5yr High,147.05
5yr Avg Return,0.15633333333333332
EPS Growth 5yr,0.3012352
Revenue Growth 5yr,0.19951519999999998
Dividend Growth 5yr,
Short Int Current Month,1606841.0
Short Int Prev Month,1322882.0
Short Int Pct of Float,0.0366045
Days to Cover,2.00156
Float,37.11134
Shares Outstanding,50.84367
Institutions Holding Shares,479.0
% Held by Institutions,0.94514
FCF Growth 5yr,-5.128845180730327
