,WCC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",8.82,17.46,Valuation,0.5051546391752577
Price/Sales (TTM),0.31,2.11,Valuation,0.14691943127962087
Price/Book (MRQ),1.55,6.17,Valuation,0.25121555915721233
"PEG Ratio (TTM, GAAP)",0.88,0.31,Valuation,2.838709677419355
Gross Profit Margin (TTM),0.21489999999999998,0.42710000000000004,Profitability,0.503160852259424
Operating Profit Margin (TTM),0.0616,0.14730000000000001,Profitability,0.41819416157501693
Net Profit Margin (TTM),0.0391,0.0835,Profitability,0.4682634730538922
Annual Dividend Yield,,0.0125,Dividend,
Dividend Change %,,0.053099999999999994,Dividend,
"Dividend Growth Rate, 3 Years",,0.0517,Dividend,
EPS Growth (MRQ),0.1211,0.4814,Gowth rates,0.25155795596177816
EPS Growth (TTM),1.8906,0.5656,Gowth rates,3.342644978783593
Revenue Growth (MRQ),-0.0069,0.1985,Gowth rates,-0.03476070528967254
Revenue Growth (TTM),0.184,0.2242,Gowth rates,0.8206958073148973
Return On Equity (TTM),0.1931,0.3129,Effectiveness,0.6171300735059124
Return On Assets (TTM),0.061,0.1319,Effectiveness,0.4624715693707354
Return On Investment (TTM),0.0816,0.17420000000000002,Effectiveness,0.46842709529276694
Revenue Per Employee (TTM),1150752.0,1897425.0,Effectiveness,0.6064808885726709
Total Debt/Total Capital (MRQ),0.5566,0.4449,Financial strength,1.2510676556529556
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0005,Financial strength,0.4
Quick Ratio (MRQ),1.24,1.09,Financial strength,1.1376146788990824
Interest Coverage (MRQ),5.35,26.1,Financial strength,0.20498084291187738
