,SNPS
% Below High,0.1545
% Held by Institutions,0.9074
52-Wk Range,['255.02 - 391.17']
Annual Dividend $,
Annual Dividend %,
Ask,330.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,330.58
Bid Size,100.0
Day Change $,-1.9
Day Change %,-0.005699999999999999
Day High,335.84
Day Low,329.84
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.59
Ex-dividend Date,No dividend
Historical Volatility,0.424
Last (size),100.0
Last (time),2:48p ET 11/28/22
Market Cap,50.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",50.5
Prev Close,332.64
Price,330.74
Short Interest,0.0128
Today's Open,332.24
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.2955882352941177
Growth 1yr High Est,0.3124087591240876
Growth 1yr Consensus Est,0.30399849720910266
Growth 2yr Low Est,0.2062504173065367
Growth 2yr High Est,0.23406867322166558
Growth 2yr Consensus Est,0.22015954526410114
Growth 5yr Low Est,0.21507955386752547
Growth 5yr High Est,0.22600760971454065
Growth 5yr Consensus Est,0.22054358179103306
Growth 5yr Actual/Est,0.220595098890148
Growth 3yr Historic,0.11238442389758185
Price/Earnings (TTM),50.50016
Price/Sales (TTM),10.27633
Price/Book (MRQ),9.08191
Price/Cash Flow (TTM),40.68744
5yr Low,79.14
5yr High,391.17
5yr Avg Return,0.2975833333333333
EPS Growth 5yr,0.2279338
Revenue Growth 5yr,0.11656140000000001
Dividend Growth 5yr,
Short Int Current Month,1950713.0
Short Int Prev Month,1668009.0
Short Int Pct of Float,0.012834000000000002
Days to Cover,1.99288
Float,152.017
Shares Outstanding,152.9113
Institutions Holding Shares,1306.0
FCF Growth 5yr,1.9903371932285399
"Price/Earnings (TTM, GAAP)",50.5
"PEG Ratio (TTM, GAAP)",2.71
Gross Profit Margin (TTM),0.7948000000000001
Operating Profit Margin (TTM),0.2293
Net Profit Margin (TTM),0.2077
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.24300000000000002
EPS Growth (TTM),0.3743
Revenue Growth (MRQ),-0.0246
Revenue Growth (TTM),0.214
Return On Equity (TTM),0.192
Return On Assets (TTM),0.11539999999999999
Return On Investment (TTM),0.15960000000000002
Revenue Per Employee (TTM),302529.0
Total Debt/Total Capital (MRQ),0.0039000000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.008100000000000001
Quick Ratio (MRQ),1.05
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-04-01 00:00:00
theStreet since,2018-05-24 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-03-09 00:00:00
ford since,2022-04-01 00:00:00
marketEdge opinion since,
