,STE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),3.77,9.8,Valuation,0.38469387755102036
Price/Book (MRQ),3.11,10.31,Valuation,0.30164888457807953
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.4522,0.6196,Profitability,0.7298256939961265
Operating Profit Margin (TTM),0.030699999999999998,0.047,Profitability,0.6531914893617021
Net Profit Margin (TTM),-0.002,0.009300000000000001,Profitability,-0.2150537634408602
Annual Dividend Yield,0.010400000000000001,0.0095,Dividend,1.0947368421052632
Dividend Change %,0.0764,0.0679,Dividend,1.1251840942562592
"Dividend Growth Rate, 3 Years",0.08310000000000001,0.0524,Dividend,1.58587786259542
EPS Growth (MRQ),-3.8551,-0.4858,Gowth rates,7.935570193495265
EPS Growth (TTM),-1.0377,-0.2029,Gowth rates,5.114342040413997
Revenue Growth (MRQ),0.0381,0.1161,Gowth rates,0.32816537467700263
Revenue Growth (TTM),0.2414,0.18300000000000002,Gowth rates,1.3191256830601092
Return On Equity (TTM),-0.0013000000000000002,0.1068,Effectiveness,-0.012172284644194757
Return On Assets (TTM),-0.0008,0.0622,Effectiveness,-0.012861736334405146
Return On Investment (TTM),-0.0009,0.0732,Effectiveness,-0.012295081967213115
Revenue Per Employee (TTM),290870.0,403586.0,Effectiveness,0.7207138007760427
Total Debt/Total Capital (MRQ),0.3423,0.3161,Financial strength,1.0828851629231255
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.0125,Financial strength,-0.016
Quick Ratio (MRQ),1.42,2.25,Financial strength,0.6311111111111111
Interest Coverage (MRQ),7.19,14.99,Financial strength,0.4796531020680454
