,STE
% Above Low,0.1177
% Held by Institutions,0.9366
52-Wk Range,['159.21 - 255.93']
Annual Dividend $,1.88
Annual Dividend %,0.0104
Ask,178.02
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,177.89
Bid Size,100.0
Day Change $,-2.63
Day Change %,-0.014499999999999999
Day High,180.85
Day Low,177.72
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",-0.11
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.324
Last (size),3.0
Last (time),3:25p ET 11/28/22
Market Cap,17.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,180.58
Price,177.96
Short Interest,0.0184
Today's Open,179.18
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.06463878326996197
Growth 1yr High Est,0.06382978723404253
Growth 1yr Consensus Est,0.06423428525200225
Growth 2yr Low Est,0.05136701068260008
Growth 2yr High Est,0.08779724655819765
Growth 2yr Consensus Est,0.06958212862039886
Growth 5yr Low Est,0.13062386899534845
Growth 5yr High Est,0.14104307465732935
Growth 5yr Consensus Est,0.1358334718263389
Growth 5yr Actual/Est,0.1345113491840667
Growth 3yr Historic,0.09440052530547033
Price/Earnings (TTM),
Price/Sales (TTM),3.77377
Price/Book (MRQ),3.10824
Price/Cash Flow (TTM),29.31758
5yr Low,82.88
5yr High,255.93
5yr Avg Return,0.14906666666666668
EPS Growth 5yr,0.1419519
Revenue Growth 5yr,0.11904949999999999
Dividend Growth 5yr,0.09167170000000001
Short Int Current Month,1831801.0
Short Int Prev Month,1809241.0
Short Int Pct of Float,0.0184082
Days to Cover,2.75472
Float,99.526
Shares Outstanding,99.82295
Institutions Holding Shares,929.0
FCF Growth 5yr,-0.06633829471623416
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4522
Operating Profit Margin (TTM),0.030699999999999998
Net Profit Margin (TTM),-0.002
Annual Dividend Yield,0.010400000000000001
Dividend Change %,0.0764
"Dividend Growth Rate, 3 Years",0.08310000000000001
EPS Growth (MRQ),-3.8551
EPS Growth (TTM),-1.0377
Revenue Growth (MRQ),0.0381
Revenue Growth (TTM),0.2414
Return On Equity (TTM),-0.0013000000000000002
Return On Assets (TTM),-0.0008
Return On Investment (TTM),-0.0009
Revenue Per Employee (TTM),290870.0
Total Debt/Total Capital (MRQ),0.3423
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),1.42
Interest Coverage (MRQ),7.19
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-04-08 00:00:00
theStreet since,2022-11-10 00:00:00
ford since,2022-07-22 00:00:00
cfra since,
marketEdge opinion since,
