,LFG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,9.13,Valuation,
Price/Sales (TTM),10.5,7.57,Valuation,1.3870541611624834
Price/Book (MRQ),23.92,4.65,Valuation,5.144086021505377
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.2214,0.35119999999999996,Profitability,0.6304100227790433
Operating Profit Margin (TTM),-0.0636,0.192,Profitability,-0.33125
Net Profit Margin (TTM),-0.0709,0.0358,Profitability,-1.980446927374302
Annual Dividend Yield,,0.0379,Dividend,
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),-1.7032,2.3421000000000003,Gowth rates,-0.72721062294522
EPS Growth (TTM),0.7996,7.2215,Gowth rates,0.11072491864571073
Revenue Growth (MRQ),0.3597,0.7168000000000001,Gowth rates,0.5018136160714285
Revenue Growth (TTM),14.8499,47.807,Gowth rates,0.310621875457569
Return On Equity (TTM),,0.3993,Effectiveness,
Return On Assets (TTM),-0.0113,0.15810000000000002,Effectiveness,-0.07147375079063882
Return On Investment (TTM),-0.030299999999999997,0.2237,Effectiveness,-0.13544926240500668
Revenue Per Employee (TTM),1018733.0,7554984.0,Effectiveness,0.13484250926275954
Total Debt/Total Capital (MRQ),0.4522,0.3658,Financial strength,1.2361946418808092
Change in Debt/Total Capital Quarter over Quarter,0.006,-0.002,Financial strength,-3.0
Quick Ratio (MRQ),2.66,0.96,Financial strength,2.7708333333333335
Interest Coverage (MRQ),-0.58,13.28,Financial strength,-0.043674698795180725
