,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,11.99,22.01,26.11,,,,,
low,10.2,9.62,12.59,,,,,
change,-0.058300000000000005,0.6106,0.4165,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,78.0,31.0,213.0,299.0,Balance Sheet
"Total Receivables, Net",,,,37.0,38.0,30.0,49.0,Balance Sheet
Total Inventory,,,,9.0,11.0,11.0,19.0,Balance Sheet
Prepaid Expenses,,,,21.0,35.0,34.0,33.0,Balance Sheet
"Other Curr. Assets, Total",,,,15.0,9.0,22.0,19.0,Balance Sheet
Total Current Assets,,,,160.0,123.0,310.0,420.0,Balance Sheet
Buildings,,,,16.0,17.0,18.0,18.0,Balance Sheet
Land/Improvements,,,,0.0,0.0,0.0,1.0,Balance Sheet
Machinery/Equipment,,,,287.0,293.0,310.0,366.0,Balance Sheet
Construction in Progress,,,,55.0,97.0,151.0,239.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,5.0,5.0,7.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,358.0,412.0,484.0,630.0,Balance Sheet
Accumulated Depreciation,,,,-8.0,-13.0,-19.0,-27.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,351.0,399.0,465.0,603.0,Balance Sheet
"Goodwill, Net",,,,29.0,29.0,30.0,48.0,Balance Sheet
Intangibles - Gross,,,,650.0,658.0,658.0,1042.0,Balance Sheet
Accum. Intangible Amort.,,,,-11.0,-21.0,-31.0,-42.0,Balance Sheet
Intangibles - Net,,,,638.0,637.0,627.0,1000.0,Balance Sheet
Long Term Investments,,,,263.0,265.0,263.0,260.0,Balance Sheet
Other Long Term Assets,,,,10.0,12.0,17.0,17.0,Balance Sheet
Total Assets,,,,1451.0,1465.0,1713.0,2347.0,Balance Sheet
Accounts Payable,,,,11.0,24.0,38.0,32.0,Balance Sheet
Accrued Expenses,,,,47.0,58.0,65.0,93.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,11.0,13.0,22.0,24.0,Balance Sheet
"Other Curr. Lblts, Total",,,,-1.0,-1.0,0.0,1.0,Balance Sheet
Total Current Liabilities,,,,69.0,93.0,124.0,151.0,Balance Sheet
Total Long Term Debt,,,,331.0,328.0,549.0,888.0,Balance Sheet
Total Debt,,,,343.0,340.0,570.0,912.0,Balance Sheet
Minority Interest,,,,993.0,861.0,607.0,974.0,Balance Sheet
Reserves,,,,5.0,5.0,5.0,10.0,Balance Sheet
Other LT Liabilities,,,,215.0,237.0,194.0,194.0,Balance Sheet
"Other Liabilities, Total",,,,220.0,242.0,199.0,204.0,Balance Sheet
Total Liabilities,,,,1613.0,1524.0,1479.0,2217.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,122.0,392.0,304.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-162.0,-181.0,-159.0,-174.0,Balance Sheet
Total Equity,,,,-162.0,-59.0,233.0,131.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1451.0,1465.0,1713.0,2347.0,Balance Sheet
