,LFG
% Below High,0.0088
% Held by Institutions,0.9439
52-Wk Range,['12.59 - 26.11']
Annual Dividend $,
Annual Dividend %,
Ask,25.94
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,
Bid,25.81
Bid Size,200.0
Closing Price,25.88
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.17
Ex-dividend Date,No dividend
Historical Volatility,0.685
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,25.88
Short Interest,0.0454
Today's Open,
Volume,275917.0
Volume 10-day Avg,2155802.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,2.4000000000000004
Growth 2yr High Est,0.6304347826086956
Growth 2yr Consensus Est,1.5152173913043478
Growth 5yr Low Est,2.4000000000000004
Growth 5yr High Est,0.6304347826086956
Growth 5yr Consensus Est,1.5152173913043478
Growth 5yr Actual/Est,-0.96875
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),10.49619
Price/Book (MRQ),23.92201
Price/Cash Flow (TTM),91.71907
5yr Low,9.62
5yr High,26.11
5yr Avg Return,0.3229333333333333
Short Int Current Month,3732612.0
Short Int Prev Month,4447106.0
Short Int Pct of Float,0.0453508
Days to Cover,1.28891
Float,76.89132
Shares Outstanding,120.6453
Institutions Holding Shares,217.0
FCF Growth 5yr,0.3318228752359116
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2214
Operating Profit Margin (TTM),-0.0636
Net Profit Margin (TTM),-0.0709
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.7032
EPS Growth (TTM),0.7996
Revenue Growth (MRQ),0.3597
Revenue Growth (TTM),14.8499
Return On Equity (TTM),
Return On Assets (TTM),-0.0113
Return On Investment (TTM),-0.030299999999999997
Revenue Per Employee (TTM),1018733.0
Total Debt/Total Capital (MRQ),0.4522
Change in Debt/Total Capital Quarter over Quarter,0.006
Quick Ratio (MRQ),2.66
Interest Coverage (MRQ),-0.58
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-26 00:00:00
theStreet since,2022-08-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
