,NXST
% Below High,0.14400000000000002
% Held by Institutions,0.95
52-Wk Range,['139.69 - 204.62']
Annual Dividend $,3.6
Annual Dividend %,0.0206
Ask,174.1
Ask Size,100.0
Ask close,187.09
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,166.0
Bid Size,100.0
Bid close,164.35
Change Since Close,-1.01| |(-0.58%)
Closing Price,175.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",25.04
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.35700000000000004
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,174.14
Market Cap,6.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",7.0
Prev Close,175.15
Short Interest,0.0455
Today's Open,
Volume,3.0
Volume 10-day Avg,363604.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.47540338449429353
Growth 2yr High Est,-0.33521782507482545
Growth 2yr Consensus Est,-0.4053106047845595
Growth 5yr Low Est,-0.47540338449429353
Growth 5yr High Est,-0.33521782507482545
Growth 5yr Consensus Est,-0.4053106047845595
Growth 5yr Actual/Est,0.6998979117126142
Growth 3yr Historic,0.6778596358664364
Price/Earnings (TTM),6.99519
Price/Sales (TTM),1.32886
Price/Book (MRQ),2.29125
Price/Cash Flow (TTM),4.09971
5yr Low,43.37
5yr High,204.62
5yr Avg Return,0.19231666666666666
EPS Growth 5yr,0.45690440000000004
Revenue Growth 5yr,0.3333068
Dividend Growth 5yr,0.238732
Short Int Current Month,1633683.0
Short Int Prev Month,1761619.0
Short Int Pct of Float,0.0454822
Days to Cover,2.67641
Float,35.97563
Shares Outstanding,37.70844
Institutions Holding Shares,562.0
FCF Growth 5yr,0.16867674649058115
"Price/Earnings (TTM, GAAP)",7.0
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6086
Operating Profit Margin (TTM),0.2808
Net Profit Margin (TTM),0.2068
Annual Dividend Yield,0.0206
Dividend Change %,0.25
"Dividend Growth Rate, 3 Years",0.2313
EPS Growth (MRQ),0.312
EPS Growth (TTM),0.20350000000000001
Revenue Growth (MRQ),0.0193
Revenue Growth (TTM),0.04
Return On Equity (TTM),0.3722
Return On Assets (TTM),0.0779
Return On Investment (TTM),0.08320000000000001
Revenue Per Employee (TTM),445353.0
Total Debt/Total Capital (MRQ),0.7088
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.83
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-05-20 00:00:00
theStreet since,2020-06-05 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
