,EL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",36.64,62.45,Valuation,0.5867093674939952
Price/Sales (TTM),4.54,4.04,Valuation,1.1237623762376239
Price/Book (MRQ),14.24,11.21,Valuation,1.2702943800178412
"PEG Ratio (TTM, GAAP)",8.0,2.11,Valuation,3.7914691943127963
Gross Profit Margin (TTM),0.7528,0.701,Profitability,1.0738944365192582
Operating Profit Margin (TTM),0.16760000000000003,0.13949999999999999,Profitability,1.2014336917562727
Net Profit Margin (TTM),0.1275,0.0981,Profitability,1.2996941896024463
Annual Dividend Yield,0.012,0.0108,Dividend,1.1111111111111112
Dividend Change %,,0.0034999999999999996,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),8.4245,-0.23070000000000002,Gowth rates,-36.51712180320763
EPS Growth (TTM),-0.2724,-0.2964,Gowth rates,0.9190283400809716
Revenue Growth (MRQ),0.1036,-0.0493,Gowth rates,-2.101419878296146
Revenue Growth (TTM),0.013500000000000002,0.046200000000000005,Gowth rates,0.2922077922077922
Return On Equity (TTM),0.3771,0.289,Effectiveness,1.3048442906574396
Return On Assets (TTM),0.106,0.0375,Effectiveness,2.8266666666666667
Return On Investment (TTM),0.1504,0.1008,Effectiveness,1.492063492063492
Revenue Per Employee (TTM),274206.0,706730.0,Effectiveness,0.38799258557016114
Total Debt/Total Capital (MRQ),0.4593,0.49520000000000003,Financial strength,0.9275040387722132
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0046,Financial strength,0.10869565217391305
Quick Ratio (MRQ),1.11,1.34,Financial strength,0.8283582089552239
Interest Coverage (MRQ),21.39,14.94,Financial strength,1.4317269076305221
