,EL
% Above Low,0.17989999999999998
% Held by Institutions,0.8901
52-Wk Range,['186.47 - 374.20']
Annual Dividend $,2.64
Annual Dividend %,0.012
Ask,221.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,208.0
Bid Size,100.0
Closing Price,220.01
Day Change $,-2.7
Day Change %,-0.0121
Day High,221.73
Day Low,217.37
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",6.0
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.41100000000000003
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,78.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",36.64
Prev Close,222.71
Short Interest,0.0149
Today's Open,220.71
Volume,1076021.0
Volume 10-day Avg,1941722.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.29999999999999993
Growth 1yr High Est,-0.27402597402597406
Growth 1yr Consensus Est,-0.287012987012987
Growth 2yr Low Est,-0.11326530612244906
Growth 2yr High Est,0.1080675138814674
Growth 2yr Consensus Est,-0.002598896120490829
Growth 5yr Low Est,-0.025701774962858786
Growth 5yr High Est,0.1429111509865951
Growth 5yr Consensus Est,0.058604688011868154
Growth 5yr Actual/Est,0.18464877172230876
Growth 3yr Historic,0.168240347346452
Price/Earnings (TTM),36.64409
Price/Sales (TTM),4.54427
Price/Book (MRQ),14.23788
Price/Cash Flow (TTM),26.83839
5yr Low,121.47
5yr High,374.2
5yr Avg Return,0.15421666666666667
EPS Growth 5yr,0.1435995
Revenue Growth 5yr,0.08448399999999999
Dividend Growth 5yr,
Short Int Current Month,3431991.0
Short Int Prev Month,3012562.0
Short Int Pct of Float,0.014919700000000001
Days to Cover,1.04393
Float,230.0753
Shares Outstanding,356.8123
Institutions Holding Shares,1684.0
FCF Growth 5yr,-0.3100805025269149
"Price/Earnings (TTM, GAAP)",36.64
"PEG Ratio (TTM, GAAP)",8.0
Gross Profit Margin (TTM),0.7528
Operating Profit Margin (TTM),0.16760000000000003
Net Profit Margin (TTM),0.1275
Annual Dividend Yield,0.012
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),8.4245
EPS Growth (TTM),-0.2724
Revenue Growth (MRQ),0.1036
Revenue Growth (TTM),0.013500000000000002
Return On Equity (TTM),0.3771
Return On Assets (TTM),0.106
Return On Investment (TTM),0.1504
Revenue Per Employee (TTM),274206.0
Total Debt/Total Capital (MRQ),0.4593
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.11
Interest Coverage (MRQ),21.39
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-06-28 00:00:00
cfra since,2020-11-02 00:00:00
ford since,2021-06-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-14 00:00:00
