,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.25,15.36,13.99,11.1,,,,,
low,9.52,9.0,9.72,6.26,,,,,
change,0.0513,0.2995,-0.21350000000000002,-0.1771,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,96.0,77.0,78.0,102.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,22.0,18.0,18.0,17.0,Balance Sheet
Other Receivables,,,,,103.0,26.0,23.0,39.0,Balance Sheet
"Total Receivables, Net",,,,,125.0,44.0,41.0,56.0,Balance Sheet
Total Current Assets,,,,,,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,5.0,20.0,19.0,18.0,Balance Sheet
"Goodwill, Net",,,,,29.0,29.0,29.0,29.0,Balance Sheet
Intangibles - Net,,,,,6.0,6.0,5.0,5.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,214.0,221.0,212.0,213.0,Balance Sheet
LT Investments - Other,,,,,12.0,12.0,11.0,11.0,Balance Sheet
Long Term Investments,,,,,226.0,233.0,223.0,224.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,69.0,68.0,66.0,62.0,Balance Sheet
Other Assets,,,,,25.0,41.0,47.0,54.0,Balance Sheet
"Other Assets, Total",,,,,25.0,41.0,47.0,54.0,Balance Sheet
Total Assets,,,,,582.0,517.0,508.0,549.0,Balance Sheet
Accrued Expenses,,,,,126.0,61.0,66.0,107.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,59.0,59.0,59.0,59.0,Balance Sheet
Total Current Liabilities,,,,,,,,,Balance Sheet
Total Long Term Debt,,,,,391.0,390.0,389.0,388.0,Balance Sheet
Total Debt,,,,,391.0,390.0,389.0,388.0,Balance Sheet
Minority Interest,,,,,-30.0,-33.0,-27.0,-28.0,Balance Sheet
Pension Benefits - Underfunded,,,,,30.0,32.0,32.0,31.0,Balance Sheet
Other Liabilities,,,,,31.0,28.0,7.0,11.0,Balance Sheet
"Other Liabilities, Total",,,,,61.0,60.0,38.0,42.0,Balance Sheet
Total Liabilities,,,,,607.0,537.0,525.0,568.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
