,GCMG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.23,20.51,Valuation,0.8888347147732812
Price/Sales (TTM),3.07,12.46,Valuation,0.24638844301765647
Price/Book (MRQ),,4.63,Valuation,
"PEG Ratio (TTM, GAAP)",2.59,2.67,Valuation,0.9700374531835205
Gross Profit Margin (TTM),,0.5835,Profitability,
Operating Profit Margin (TTM),0.2481,0.269,Profitability,0.9223048327137545
Net Profit Margin (TTM),0.271,0.1791,Profitability,1.5131211613623674
Annual Dividend Yield,0.0497,0.0257,Dividend,1.933852140077821
Dividend Change %,,0.2049,Dividend,
"Dividend Growth Rate, 3 Years",,0.1213,Dividend,
EPS Growth (MRQ),-0.8261000000000001,-0.2356,Gowth rates,3.5063667232597626
EPS Growth (TTM),0.436,-0.0768,Gowth rates,-5.677083333333334
Revenue Growth (MRQ),0.3148,0.0931,Gowth rates,3.381310418904404
Revenue Growth (TTM),0.08220000000000001,0.0447,Gowth rates,1.8389261744966445
Return On Equity (TTM),,0.1783,Effectiveness,
Return On Assets (TTM),0.2742,0.0492,Effectiveness,5.573170731707317
Return On Investment (TTM),0.349,0.1008,Effectiveness,3.462301587301587
Revenue Per Employee (TTM),1025376.0,1125238.0,Effectiveness,0.9112525527932758
Total Debt/Total Capital (MRQ),1.1376000000000002,0.5241,Financial strength,2.1705781339439043
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0008,Financial strength,-0.8750000000000001
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),2.49,21.92,Financial strength,0.11359489051094891
