,GCMG
% Above Low,0.41369999999999996
% Held by Institutions,1.0388
52-Wk Range,['6.26 - 11.79']
Annual Dividend $,0.44
Annual Dividend %,0.049699999999999994
Ask,14.17
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.4
Bid,3.55
Bid Size,200.0
Closing Price,8.85
Day Change $,0.01
Day Change %,0.0011
Day High,9.0
Day Low,8.84
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.49
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.306
Last (size),560.0
Last (time),1:00p ET 11/25/22
Market Cap,373.8M
"P/E Ratio (TTM, GAAP)",18.23
Prev Close,8.84
Short Interest,0.0525
Today's Open,8.85
Volume,64028.0
Volume 10-day Avg,241994.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.08695652173913038
Growth 1yr High Est,0.10416666666666674
Growth 1yr Consensus Est,0.09556159420289856
Growth 2yr Low Est,0.13347826086956516
Growth 2yr High Est,0.2218946540880503
Growth 2yr Consensus Est,0.17768645747880774
Growth 5yr Low Est,0.08898550724637677
Growth 5yr High Est,0.14792976939203353
Growth 5yr Consensus Est,0.11845763831920515
Growth 5yr Actual/Est,0.12037037037037042
Growth 3yr Historic,0.09523809523809527
Price/Earnings (TTM),18.23426
Price/Sales (TTM),3.07148
Price/Book (MRQ),
Price/Cash Flow (TTM),11.03914
5yr Low,6.26
5yr High,15.36
5yr Avg Return,-0.00995000000000001
Short Int Current Month,2203420.0
Short Int Prev Month,2517289.0
Short Int Pct of Float,0.052478800000000006
Days to Cover,7.72734
Float,41.97173
Shares Outstanding,186.4741
Institutions Holding Shares,118.0
FCF Growth 5yr,0.4043383972524741
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",18.23
"PEG Ratio (TTM, GAAP)",2.59
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2481
Net Profit Margin (TTM),0.271
Annual Dividend Yield,0.0497
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8261000000000001
EPS Growth (TTM),0.436
Revenue Growth (MRQ),0.3148
Revenue Growth (TTM),0.08220000000000001
Return On Equity (TTM),
Return On Assets (TTM),0.2742
Return On Investment (TTM),0.349
Revenue Per Employee (TTM),1025376.0
Total Debt/Total Capital (MRQ),1.1376000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.49
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
