,TWKS
% Above Low,0.0315
% Held by Institutions,0.27149999999999996
52-Wk Range,['7.61 - 30.99']
Annual Dividend $,
Annual Dividend %,
Ask,8.72
Ask Size,600.0
B/A Ratio,0.5
B/A Size,300x600
Beta,
Bid,7.98
Bid Size,300.0
Closing Price,7.85
Day Change $,0.01
Day Change %,0.0013
Day High,7.92
Day Low,7.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.51
Ex-dividend Date,No dividend
Historical Volatility,0.5870000000000001
Last (size),2.0
Last (time),3:59p ET 11/28/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,7.84
Short Interest,0.0144
Today's Open,7.71
Volume,818212.0
Volume 10-day Avg,970056.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.07894736842105265
Growth 1yr High Est,-0.10638297872340419
Growth 1yr Consensus Est,-0.013717805151175766
Growth 2yr Low Est,0.12483953786906288
Growth 2yr High Est,0.14918946301925023
Growth 2yr Consensus Est,0.13701450044415656
Growth 5yr Low Est,0.12483953786906288
Growth 5yr High Est,0.14918946301925023
Growth 5yr Consensus Est,0.13701450044415656
Growth 5yr Actual/Est,0.09199363732767762
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.94007
Price/Book (MRQ),3.38173
Price/Cash Flow (TTM),
5yr Low,7.61
5yr High,34.43
5yr Avg Return,-0.33735
Short Int Current Month,1284571.0
Short Int Prev Month,1832993.0
Short Int Pct of Float,0.0143838
Days to Cover,1.43961
Float,89.19342
Shares Outstanding,314.8388
Institutions Holding Shares,156.0
FCF Growth 5yr,0.047119920040546326
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.24739999999999998
Operating Profit Margin (TTM),-0.0772
Net Profit Margin (TTM),-0.1229
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0431
EPS Growth (TTM),-2.7451
Revenue Growth (MRQ),0.001
Revenue Growth (TTM),0.2859
Return On Equity (TTM),-0.2236
Return On Assets (TTM),-0.1048
Return On Investment (TTM),-0.12029999999999999
Revenue Per Employee (TTM),120028.0
Total Debt/Total Capital (MRQ),0.35450000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0028000000000000004
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.22
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-21 00:00:00
theStreet since,2022-11-21 00:00:00
ford since,2021-12-31 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
