,TWKS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.11,Valuation,
Price/Sales (TTM),1.94,19.35,Valuation,0.10025839793281653
Price/Book (MRQ),3.38,19.03,Valuation,0.17761429322122962
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.24739999999999998,0.44520000000000004,Profitability,0.5557053009883197
Operating Profit Margin (TTM),-0.0772,0.3027,Profitability,-0.2550379914106376
Net Profit Margin (TTM),-0.1229,0.23600000000000002,Profitability,-0.5207627118644067
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-0.0431,-3.5569,Gowth rates,0.012117293148528212
EPS Growth (TTM),-2.7451,0.15560000000000002,Gowth rates,-17.642030848329046
Revenue Growth (MRQ),0.001,0.16460000000000002,Gowth rates,0.006075334143377885
Revenue Growth (TTM),0.2859,0.2273,Gowth rates,1.2578090629124505
Return On Equity (TTM),-0.2236,0.5459,Effectiveness,-0.40959882762410693
Return On Assets (TTM),-0.1048,0.1131,Effectiveness,-0.9266136162687887
Return On Investment (TTM),-0.12029999999999999,0.18910000000000002,Effectiveness,-0.6361713379164462
Revenue Per Employee (TTM),120028.0,686074.0,Effectiveness,0.17494905797333815
Total Debt/Total Capital (MRQ),0.35450000000000004,0.5613,Financial strength,0.6315695706395867
Change in Debt/Total Capital Quarter over Quarter,-0.0028000000000000004,0.0048,Financial strength,-0.5833333333333335
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),0.22,27.21,Financial strength,0.00808526277104006
