,GILD
% Below High,0.0017000000000000001
% Held by Institutions,0.8012999999999999
52-Wk Range,['57.17 - 86.41']
Annual Dividend $,2.92
Annual Dividend %,0.0339
Ask,86.26
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,85.81
Bid Size,100.0
Closing Price,86.26
Day Change $,0.84
Day Change %,0.0098
Day High,86.41
Day Low,84.76
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",2.64
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.247
Last (size),180.0
Last (time),1:00p ET 11/25/22
Market Cap,108.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",32.62
Prev Close,85.42
Short Interest,0.0165
Today's Open,85.04
Volume,4028739.0
Volume 10-day Avg,7029881.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,0.08661417322834652
Growth 1yr High Est,0.009681881051175623
Growth 1yr Consensus Est,0.048148027139761074
Growth 2yr Low Est,-0.055968275704667336
Growth 2yr High Est,0.06990943367627278
Growth 2yr Consensus Est,0.006970578985802722
Growth 5yr Low Est,-0.037312183803111555
Growth 5yr High Est,0.04660628911751519
Growth 5yr Consensus Est,0.004647052657201815
Growth 5yr Actual/Est,0.0058918268999360035
Growth 3yr Historic,0.024044976567170195
Price/Earnings (TTM),32.61975
Price/Sales (TTM),3.98699
Price/Book (MRQ),5.13116
Price/Cash Flow (TTM),19.96514
5yr Low,56.56
5yr High,89.54
5yr Avg Return,0.03861666666666667
EPS Growth 5yr,-0.13079380000000002
Revenue Growth 5yr,-0.021181199999999997
Dividend Growth 5yr,0.0906869
Short Int Current Month,20726261.0
Short Int Prev Month,19071317.0
Short Int Pct of Float,0.016541999999999998
Days to Cover,2.24425
Float,1253.098
Shares Outstanding,1254.244
Institutions Holding Shares,2160.0
FCF Growth 5yr,0.3403221091220525
"Price/Earnings (TTM, GAAP)",32.62
"PEG Ratio (TTM, GAAP)",18.82
Gross Profit Margin (TTM),0.7462000000000001
Operating Profit Margin (TTM),0.2212
Net Profit Margin (TTM),0.1219
Annual Dividend Yield,0.0339
Dividend Change %,0.0441
"Dividend Growth Rate, 3 Years",0.076
EPS Growth (MRQ),0.5626
EPS Growth (TTM),-0.5474
Revenue Growth (MRQ),0.12490000000000001
Revenue Growth (TTM),-0.0126
Return On Equity (TTM),0.1567
Return On Assets (TTM),0.051
Return On Investment (TTM),0.060700000000000004
Revenue Per Employee (TTM),1884445.0
Total Debt/Total Capital (MRQ),0.545
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),1.16
Interest Coverage (MRQ),6.66
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-08-16 00:00:00
researchTeam since,2021-05-10 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-08-01 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
