,GILD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",32.62,471.78,Valuation,0.06914239687990165
Price/Sales (TTM),3.99,45.03,Valuation,0.08860759493670886
Price/Book (MRQ),5.13,12.61,Valuation,0.40681998413957177
"PEG Ratio (TTM, GAAP)",18.82,173.15,Valuation,0.10869188564828183
Gross Profit Margin (TTM),0.7462000000000001,0.5874,Profitability,1.2703438883214164
Operating Profit Margin (TTM),0.2212,-4.7459,Profitability,-0.04660865167829074
Net Profit Margin (TTM),0.1219,-4.5467,Profitability,-0.026810653880836647
Annual Dividend Yield,0.0339,0.0144,Dividend,2.3541666666666665
Dividend Change %,0.0441,0.0382,Dividend,1.1544502617801047
"Dividend Growth Rate, 3 Years",0.076,0.047599999999999996,Dividend,1.596638655462185
EPS Growth (MRQ),0.5626,-0.0014000000000000002,Gowth rates,-401.8571428571428
EPS Growth (TTM),-0.5474,0.027200000000000002,Gowth rates,-20.125
Revenue Growth (MRQ),0.12490000000000001,1.3963999999999999,Gowth rates,0.0894442853050702
Revenue Growth (TTM),-0.0126,0.9747,Gowth rates,-0.012927054478301015
Return On Equity (TTM),0.1567,0.1967,Effectiveness,0.7966446365022877
Return On Assets (TTM),0.051,0.0016,Effectiveness,31.874999999999996
Return On Investment (TTM),0.060700000000000004,0.0219,Effectiveness,2.771689497716895
Revenue Per Employee (TTM),1884445.0,1476201.0,Effectiveness,1.2765504155599408
Total Debt/Total Capital (MRQ),0.545,0.4675,Financial strength,1.1657754010695187
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.0036,Financial strength,-0.05555555555555556
Quick Ratio (MRQ),1.16,2.06,Financial strength,0.5631067961165048
Interest Coverage (MRQ),6.66,2.69,Financial strength,2.475836431226766
