,PKG
% Above Low,0.18
% Held by Institutions,0.9361
52-Wk Range,['110.56 - 168.50']
Annual Dividend $,5.0
Annual Dividend %,0.037599999999999995
Ask,130.56
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.9
Bid,130.42
Bid Size,100.0
Day Change $,-2.51
Day Change %,-0.0189
Day High,131.94
Day Low,130.46
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",10.98
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.30100000000000005
Last (size),10.0
Last (time),10:53a ET 11/28/22
Market Cap,12.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.11
Prev Close,132.97
Price,130.46
Short Interest,0.0236
Today's Open,131.94
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.9130434782608696
Growth 1yr High Est,0.8909090909090909
Growth 1yr Consensus Est,0.9019762845849802
Growth 2yr Low Est,0.3306126482213439
Growth 2yr High Est,0.44807692307692304
Growth 2yr Consensus Est,0.38934478564913344
Growth 5yr Low Est,0.10346077437245207
Growth 5yr High Est,0.1699581506576325
Growth 5yr Consensus Est,0.1367094625150423
Growth 5yr Actual/Est,0.10920362030197353
Growth 3yr Historic,0.09503075740099964
Price/Earnings (TTM),12.10817
Price/Sales (TTM),1.44031
Price/Book (MRQ),3.10393
Price/Cash Flow (TTM),8.31878
5yr Low,71.05
5yr High,168.5
5yr Avg Return,0.04766666666666666
EPS Growth 5yr,0.1320266
Revenue Growth 5yr,0.0599094
Dividend Growth 5yr,0.118987
Short Int Current Month,2132078.0
Short Int Prev Month,2302991.0
Short Int Pct of Float,0.023584200000000003
Days to Cover,2.29551
Float,91.05258
Shares Outstanding,92.53448
Institutions Holding Shares,889.0
FCF Growth 5yr,0.4929149515209143
"Price/Earnings (TTM, GAAP)",12.11
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.25170000000000003
Operating Profit Margin (TTM),0.1674
Net Profit Margin (TTM),0.1211
Annual Dividend Yield,0.0376
Dividend Change %,0.2658
"Dividend Growth Rate, 3 Years",0.12090000000000001
EPS Growth (MRQ),-0.12630000000000002
EPS Growth (TTM),0.3994
Revenue Growth (MRQ),-0.049800000000000004
Revenue Growth (TTM),0.1542
Return On Equity (TTM),0.27090000000000003
Return On Assets (TTM),0.1219
Return On Investment (TTM),0.14400000000000002
Revenue Per Employee (TTM),562026.0
Total Debt/Total Capital (MRQ),0.385
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),1.99
Interest Coverage (MRQ),22.44
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-13 00:00:00
theStreet since,2020-06-03 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-01-30 00:00:00
ford since,2022-08-19 00:00:00
marketEdge opinion since,
