,PKG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.11,14.62,Valuation,0.8283173734610123
Price/Sales (TTM),1.44,1.05,Valuation,1.3714285714285712
Price/Book (MRQ),3.1,5.55,Valuation,0.5585585585585586
"PEG Ratio (TTM, GAAP)",,0.41,Valuation,
Gross Profit Margin (TTM),0.25170000000000003,0.2208,Profitability,1.1399456521739133
Operating Profit Margin (TTM),0.1674,0.09230000000000001,Profitability,1.8136511375947995
Net Profit Margin (TTM),0.1211,0.0636,Profitability,1.9040880503144653
Annual Dividend Yield,0.0376,0.0259,Dividend,1.4517374517374517
Dividend Change %,0.2658,0.0837,Dividend,3.175627240143369
"Dividend Growth Rate, 3 Years",0.12090000000000001,0.037700000000000004,Dividend,3.206896551724138
EPS Growth (MRQ),-0.12630000000000002,0.5963,Gowth rates,-0.2118061378500755
EPS Growth (TTM),0.3994,0.35340000000000005,Gowth rates,1.1301641199773624
Revenue Growth (MRQ),-0.049800000000000004,0.1054,Gowth rates,-0.4724857685009488
Revenue Growth (TTM),0.1542,0.1638,Gowth rates,0.9413919413919414
Return On Equity (TTM),0.27090000000000003,0.3788,Effectiveness,0.7151531151003169
Return On Assets (TTM),0.1219,0.0592,Effectiveness,2.0591216216216215
Return On Investment (TTM),0.14400000000000002,0.0793,Effectiveness,1.8158890290037835
Revenue Per Employee (TTM),562026.0,433957.0,Effectiveness,1.2951191016621462
Total Debt/Total Capital (MRQ),0.385,0.6087,Financial strength,0.6324954821751273
Change in Debt/Total Capital Quarter over Quarter,-0.0019,-0.0001,Financial strength,19.0
Quick Ratio (MRQ),1.99,0.9,Financial strength,2.2111111111111112
Interest Coverage (MRQ),22.44,9.25,Financial strength,2.425945945945946
