,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,79.16,62.71,20.35,,,,,
low,22.46,12.46,7.55,,,,,
change,0.1227,-0.7503000000000001,-0.4374,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,61.0,42.0,132.0,40.0,Balance Sheet
Short Term Investments,,,,177.0,175.0,281.0,353.0,Balance Sheet
Cash and Short Term Invs,,,,238.0,217.0,413.0,392.0,Balance Sheet
Prepaid Expenses,,,,5.0,4.0,2.0,5.0,Balance Sheet
"Other Curr. Assets, Total",,,,3.0,2.0,2.0,3.0,Balance Sheet
Total Current Assets,,,,246.0,223.0,417.0,401.0,Balance Sheet
Buildings,,,,3.0,3.0,3.0,4.0,Balance Sheet
Machinery/Equipment,,,,10.0,11.0,12.0,12.0,Balance Sheet
Construction in Progress,,,,2.0,3.0,6.0,19.0,Balance Sheet
Other Prop./Plant/Equip.,,,,12.0,66.0,67.0,69.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,28.0,83.0,87.0,103.0,Balance Sheet
Accumulated Depreciation,,,,-3.0,-4.0,-4.0,-5.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,25.0,80.0,83.0,98.0,Balance Sheet
Other Long Term Assets,,,,1.0,1.0,1.0,2.0,Balance Sheet
Total Assets,,,,274.0,306.0,504.0,504.0,Balance Sheet
Accounts Payable,,,,1.0,2.0,3.0,9.0,Balance Sheet
Accrued Expenses,,,,10.0,8.0,9.0,16.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,2.0,1.0,1.0,1.0,Balance Sheet
Total Current Liabilities,,,,13.0,11.0,13.0,26.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
