,NKTX
% Above Low,0.14830000000000002
% Held by Institutions,0.9153
52-Wk Range,['7.55 - 20.35']
Annual Dividend $,
Annual Dividend %,
Ask,11.62
Ask Size,300.0
Ask close,10.69
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,
Bid,8.5
Bid Size,400.0
Bid close,6.76
Change Since Close,0.00| |(0.00%)
Closing Price,8.67
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.68
Ex-dividend Date,No dividend
Historical Volatility,1.165
Last (size),82.0
Last (time),1:00p ET 11/25/22
Last Trade,8.67
Market Cap,423.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,8.67
Short Interest,0.1276
Today's Open,
Volume,83.0
Volume 10-day Avg,589264.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.24812030075187952
Growth 2yr High Est,-0.0039525691699603405
Growth 2yr Consensus Est,0.12208386579095959
Growth 5yr Low Est,0.24812030075187952
Growth 5yr High Est,-0.0039525691699603405
Growth 5yr Consensus Est,0.12208386579095959
Growth 5yr Actual/Est,-0.13815915972965812
Growth 3yr Historic,-0.1727941176470588
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.05986
Price/Cash Flow (TTM),
5yr Low,7.55
5yr High,79.16
5yr Avg Return,-0.355
Short Int Current Month,5784530.0
Short Int Prev Month,5994118.0
Short Int Pct of Float,0.1276384
Days to Cover,10.95916
Float,45.31967
Shares Outstanding,48.81372
Institutions Holding Shares,146.0
FCF Growth 5yr,0.2691816539751783
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0509
EPS Growth (TTM),0.10529999999999999
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.311
Return On Assets (TTM),-0.2614
Return On Investment (TTM),-0.2747
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-04-14 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
