,NVDA
% Above Low,0.5047
% Held by Institutions,0.6318
52-Wk Range,['108.13 - 334.12']
Annual Dividend $,0.16
Annual Dividend %,0.001
Ask,160.7
Ask Size,400.0
Ask close,173.48
B/A Ratio,0.5
B/A Size,200x400
Beta,1.7
Bid,160.5
Bid Size,200.0
Bid close,152.86
Change Since Close,-2.06| |(-1.27%)
Closing Price,162.7
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-22 00:00:00
"EPS (TTM, GAAP)",2.35
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.636
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,160.64
Market Cap,405.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",69.2
Prev Close,162.7
Short Interest,0.0151
Today's Open,
Volume,245437.0
Volume 10-day Avg,52321158.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,35.0
Growth 1yr Low Est,-0.2939814814814816
Growth 1yr High Est,-0.2448512585812358
Growth 1yr Consensus Est,-0.2694163700313587
Growth 2yr Low Est,-0.0978104128718883
Growth 2yr High Est,0.16545315858817006
Growth 2yr Consensus Est,0.03382137285814088
Growth 5yr Low Est,0.0016482556460153674
Growth 5yr High Est,0.13930354985020207
Growth 5yr Consensus Est,0.07047590274810873
Growth 5yr Actual/Est,0.3914151272067499
Growth 3yr Historic,0.3750344827586208
Price/Earnings (TTM),69.20401
Price/Sales (TTM),14.01113
Price/Book (MRQ),18.80854
Price/Cash Flow (TTM),54.20395
5yr Low,31.12
5yr High,346.47
5yr Avg Return,0.39695
EPS Growth 5yr,0.43069989999999997
Revenue Growth 5yr,0.3125022
Dividend Growth 5yr,0.0570308
Short Int Current Month,35679525.0
Short Int Prev Month,31451677.0
Short Int Pct of Float,0.0151328
Days to Cover,0.64333
Float,2358.385
Shares Outstanding,2460.0
Institutions Holding Shares,3635.0
FCF Growth 5yr,-0.0943697242841467
"Price/Earnings (TTM, GAAP)",69.2
"PEG Ratio (TTM, GAAP)",3.25
Gross Profit Margin (TTM),0.5784
Operating Profit Margin (TTM),0.2079
Net Profit Margin (TTM),0.20850000000000002
Annual Dividend Yield,0.001
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0161
EPS Growth (MRQ),0.04360000000000001
EPS Growth (TTM),-0.2742
Revenue Growth (MRQ),-0.1153
Revenue Growth (TTM),0.1768
Return On Equity (TTM),0.2639
Return On Assets (TTM),0.1469
Return On Investment (TTM),0.1686
Revenue Per Employee (TTM),1271125.0
Total Debt/Total Capital (MRQ),0.33899999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),2.74
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-26 00:00:00
theStreet since,2022-09-16 00:00:00
cfra since,2020-03-28 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
