,CSCO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.52,26.06,Valuation,0.6722947045280123
Price/Sales (TTM),3.8,5.09,Valuation,0.7465618860510805
Price/Book (MRQ),4.94,4.51,Valuation,1.0953436807095345
"PEG Ratio (TTM, GAAP)",2.58,2.07,Valuation,1.246376811594203
Gross Profit Margin (TTM),0.6223,0.5751,Profitability,1.0820726830116503
Operating Profit Margin (TTM),0.2691,0.2231,Profitability,1.2061855670103094
Net Profit Margin (TTM),0.22,0.1819,Profitability,1.2094557449147882
Annual Dividend Yield,0.031400000000000004,0.0201,Dividend,1.5621890547263684
Dividend Change %,0.0276,0.052300000000000006,Dividend,0.5277246653919694
"Dividend Growth Rate, 3 Years",0.036000000000000004,0.0484,Dividend,0.7438016528925621
EPS Growth (MRQ),-0.042300000000000004,-0.16579999999999998,Gowth rates,0.2551266586248493
EPS Growth (TTM),0.027200000000000002,0.1262,Gowth rates,0.21553090332805072
Revenue Growth (MRQ),0.0405,0.1365,Gowth rates,0.2967032967032967
Revenue Growth (TTM),0.029500000000000002,0.0862,Gowth rates,0.3422273781902552
Return On Equity (TTM),0.2772,0.195,Effectiveness,1.4215384615384614
Return On Assets (TTM),0.1217,0.1241,Effectiveness,0.9806607574536664
Return On Investment (TTM),0.16329999999999997,0.1684,Effectiveness,0.9697149643705462
Revenue Per Employee (TTM),627719.0,688581.0,Effectiveness,0.9116124319433734
Total Debt/Total Capital (MRQ),0.18059999999999998,0.36450000000000005,Financial strength,0.49547325102880646
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.0002,Financial strength,-2.0
Quick Ratio (MRQ),1.34,1.51,Financial strength,0.8874172185430464
Interest Coverage (MRQ),,1.83,Financial strength,
