,CSCO
% Above Low,0.25370000000000004
% Held by Institutions,0.7116
52-Wk Range,['38.61 - 64.29']
Annual Dividend $,1.52
Annual Dividend %,0.031400000000000004
Ask,48.4
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.0
Bid,48.3
Bid Size,1000.0
Closing Price,48.4
Day Change $,-0.17
Day Change %,-0.0034999999999999996
Day High,49.05
Day Low,48.35
Dividend Pay Date,2022-10-26 00:00:00
"EPS (TTM, GAAP)",2.76
Ex-dividend,2022-10-04 00:00:00
Ex-dividend Date,10/04/22
Historical Volatility,0.302
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,198.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.52
Prev Close,48.57
Short Interest,0.009399999999999999
Today's Open,48.75
Volume,8492585.0
Volume 10-day Avg,22018845.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,0.05722891566265065
Growth 1yr High Est,0.06194690265486735
Growth 1yr Consensus Est,0.059587909158759
Growth 2yr Low Est,0.05710448632135379
Growth 2yr High Est,0.10597345132743363
Growth 2yr Consensus Est,0.08153896882439371
Growth 5yr Low Est,0.04272122265471673
Growth 5yr High Est,0.07010952669818982
Growth 5yr Consensus Est,0.05641537467645327
Growth 5yr Actual/Est,0.045503596037828
Growth 3yr Historic,0.011648381416768272
Price/Earnings (TTM),17.51706
Price/Sales (TTM),3.80256
Price/Book (MRQ),4.93812
Price/Cash Flow (TTM),14.90384
5yr Low,32.4
5yr High,64.29
5yr Avg Return,0.07011666666666667
EPS Growth 5yr,0.0816478
Revenue Growth 5yr,0.014379
Dividend Growth 5yr,0.0684655
Short Int Current Month,38699272.0
Short Int Prev Month,37838456.0
Short Int Pct of Float,0.0094287
Days to Cover,1.97341
Float,4104.558
Shares Outstanding,4108.103
Institutions Holding Shares,3547.0
FCF Growth 5yr,0.10320216531960014
"Price/Earnings (TTM, GAAP)",17.52
"PEG Ratio (TTM, GAAP)",2.58
Gross Profit Margin (TTM),0.6223
Operating Profit Margin (TTM),0.2691
Net Profit Margin (TTM),0.22
Annual Dividend Yield,0.031400000000000004
Dividend Change %,0.0276
"Dividend Growth Rate, 3 Years",0.036000000000000004
EPS Growth (MRQ),-0.042300000000000004
EPS Growth (TTM),0.027200000000000002
Revenue Growth (MRQ),0.0405
Revenue Growth (TTM),0.029500000000000002
Return On Equity (TTM),0.2772
Return On Assets (TTM),0.1217
Return On Investment (TTM),0.16329999999999997
Revenue Per Employee (TTM),627719.0
Total Debt/Total Capital (MRQ),0.18059999999999998
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),1.34
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-05-20 00:00:00
cfra since,2022-04-27 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-06-16 00:00:00
