,MLNK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",338.74,54.08,Valuation,6.263683431952663
Price/Sales (TTM),4.26,9.39,Valuation,0.45367412140575075
Price/Book (MRQ),2.06,12.63,Valuation,0.16310372129849565
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6379,0.7206,Profitability,0.8852345267832362
Operating Profit Margin (TTM),0.1073,0.2172,Profitability,0.49401473296500925
Net Profit Margin (TTM),0.0126,0.1553,Profitability,0.08113329040566646
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-2.3581,-0.0752,Gowth rates,31.357712765957444
EPS Growth (TTM),1.0807,-0.2824,Gowth rates,-3.8268413597733715
Revenue Growth (MRQ),-0.0169,0.15560000000000002,Gowth rates,-0.10861182519280203
Revenue Growth (TTM),0.0929,0.1906,Gowth rates,0.48740818467995806
Return On Equity (TTM),0.0062,0.2189,Effectiveness,0.028323435358611235
Return On Assets (TTM),0.0034000000000000002,0.10740000000000001,Effectiveness,0.03165735567970205
Return On Investment (TTM),0.0036,0.1387,Effectiveness,0.025955299206921415
Revenue Per Employee (TTM),452603.0,667721.0,Effectiveness,0.6778325078887739
Total Debt/Total Capital (MRQ),0.4238,0.39659999999999995,Financial strength,1.0685829551185075
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0004,Financial strength,-0.7499999999999999
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),0.68,0.28,Financial strength,2.4285714285714284
