,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,29.0,21.66,,,,,
low,19.77,12.49,,,,,
change,-0.1857,-0.3153,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,114.0,147.0,100.0,116.0,Balance Sheet
"Trade Accts Recvble, Gross",,,25.0,32.0,34.0,32.0,Balance Sheet
Prov. for Doubtful Accts,,,0.0,0.0,0.0,0.0,Balance Sheet
"Trade Accts Recvble, Net",,,27.0,35.0,37.0,35.0,Balance Sheet
Other Receivables,,,0.0,,,1.0,Balance Sheet
"Total Receivables, Net",,,27.0,35.0,37.0,36.0,Balance Sheet
Prepaid Expenses,,,7.0,7.0,6.0,8.0,Balance Sheet
Restricted Cash - Current,,,0.0,,30.0,30.0,Balance Sheet
Other Current Assets,,,0.0,0.0,1.0,0.0,Balance Sheet
"Other Curr. Assets, Total",,,0.0,0.0,31.0,30.0,Balance Sheet
Total Current Assets,,,148.0,189.0,174.0,190.0,Balance Sheet
Buildings,,,3.0,3.0,3.0,3.0,Balance Sheet
Machinery/Equipment,,,8.0,8.0,9.0,9.0,Balance Sheet
Construction in Progress,,,0.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,1.0,3.0,4.0,4.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,12.0,15.0,15.0,16.0,Balance Sheet
Accumulated Depreciation,,,-6.0,-7.0,-7.0,-8.0,Balance Sheet
Prop./Plant/Equip. - Net,,,6.0,8.0,8.0,8.0,Balance Sheet
"Goodwill, Net",,,565.0,565.0,569.0,572.0,Balance Sheet
Intangibles - Gross,,,439.0,441.0,459.0,458.0,Balance Sheet
Accum. Intangible Amort.,,,-140.0,-153.0,-166.0,-179.0,Balance Sheet
Intangibles - Net,,,299.0,288.0,293.0,280.0,Balance Sheet
Note Rcvble - Long Term,,,3.0,,,,Balance Sheet
Other Long Term Assets,,,1.0,4.0,4.0,4.0,Balance Sheet
Total Assets,,,1026.0,1055.0,1059.0,1064.0,Balance Sheet
Accounts Payable,,,2.0,3.0,2.0,2.0,Balance Sheet
Accrued Expenses,,,25.0,26.0,28.0,30.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,2.0,3.0,3.0,3.0,Balance Sheet
Customer Advances,,,15.0,29.0,23.0,23.0,Balance Sheet
Other Current Liabilities,,,0.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,15.0,29.0,23.0,23.0,Balance Sheet
Total Current Liabilities,,,44.0,61.0,56.0,58.0,Balance Sheet
Total Long Term Debt,,,425.0,425.0,424.0,424.0,Balance Sheet
Total Debt,,,428.0,428.0,428.0,427.0,Balance Sheet
"Other Liabilities, Total",,,0.0,2.0,2.0,2.0,Balance Sheet
Total Liabilities,,,470.0,487.0,483.0,484.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,597.0,601.0,607.0,614.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-40.0,-33.0,-31.0,-34.0,Balance Sheet
Total Equity,,,556.0,568.0,576.0,580.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1026.0,1055.0,1059.0,1064.0,Balance Sheet
Ttl Comm. Shares Outs.,,,80.0,80.0,80.0,81.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,64024.0,72754.0,72987.0,71754.0,Income Statement
"Cost of Revenue, Total",,,22354.0,24538.0,27226.0,27815.0,Income Statement
Selling/Gen/Admin Expense,,,14282.0,12057.0,14241.0,14965.0,Income Statement
Labor & Related Expense,,,1789.0,1766.0,2900.0,3809.0,Income Statement
Advertising Expense,,,400.0,,,,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,16471.0,13823.0,17141.0,18774.0,Income Statement
Research & Development,,,8529.0,8506.0,10575.0,11688.0,Income Statement
Depreciation/Amortization,,,8910.0,8910.0,9042.0,8790.0,Income Statement
Impair-Assets Held for Use,,,0.0,,,,Income Statement
Other Unusual Expnse (In),,,5574.0,2283.0,103.0,163.0,Income Statement
Unusual Expense (Income),,,5574.0,2383.0,103.0,163.0,Income Statement
Loss(Gain)/Sale Asts (Oper),,,0.0,100.0,0.0,0.0,Income Statement
Total Operating Expense,,,61838.0,58160.0,64087.0,67230.0,Income Statement
Total Operating Income,,,2186.0,14594.0,8900.0,4524.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,-5542.0,-4358.0,-5436.0,-6855.0,Income Statement
"Other, Net",,,10.0,163.0,216.0,327.0,Income Statement
Income Before Tax,,,-3346.0,10399.0,3680.0,-2004.0,Income Statement
