,ACHC
% Below High,0.020099999999999996
% Held by Institutions,1.0334999999999999
52-Wk Range,['50.07 - 88.17']
Annual Dividend $,
Annual Dividend %,
Ask,86.94
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,85.86
Bid Size,100.0
Closing Price,86.4
Day Change $,-0.16
Day Change %,-0.0018
Day High,87.29
Day Low,86.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.09
Ex-dividend Date,No dividend
Historical Volatility,0.365
Last (size),533.0
Last (time),1:00p ET 11/25/22
Market Cap,7.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.98
Prev Close,86.56
Short Interest,0.0414
Today's Open,86.97
Volume,224109.0
Volume 10-day Avg,595807.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.196078431372549
Growth 1yr High Est,0.16541353383458635
Growth 1yr Consensus Est,0.18074598260356767
Growth 2yr Low Est,0.12262937962070075
Growth 2yr High Est,0.153674508852777
Growth 2yr Consensus Est,0.13815194423673888
Growth 5yr Low Est,0.13328438678004734
Growth 5yr High Est,0.1512274983288276
Growth 5yr Consensus Est,0.14225594255443746
Growth 5yr Actual/Est,0.14269376003197248
Growth 3yr Historic,0.07090210184793339
Price/Earnings (TTM),27.97674
Price/Sales (TTM),3.10861
Price/Book (MRQ),2.83017
Price/Cash Flow (TTM),19.43707
5yr Low,11.09
5yr High,88.17
5yr Avg Return,0.2160166666666667
EPS Growth 5yr,0.9916201
Revenue Growth 5yr,-0.0381265
Dividend Growth 5yr,
Short Int Current Month,3712752.0
Short Int Prev Month,4167559.0
Short Int Pct of Float,0.041424899999999994
Days to Cover,5.21509
Float,89.56567
Shares Outstanding,90.97671
Institutions Holding Shares,439.0
FCF Growth 5yr,0.4779854265257531
"Price/Earnings (TTM, GAAP)",27.98
"PEG Ratio (TTM, GAAP)",2.31
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1772
Net Profit Margin (TTM),0.11410000000000001
EPS Growth (MRQ),-0.11460000000000001
EPS Growth (TTM),0.44770000000000004
Revenue Growth (MRQ),0.023
Revenue Growth (TTM),0.2791
Return On Equity (TTM),0.109
Return On Assets (TTM),0.0605
Return On Investment (TTM),0.0672
Revenue Per Employee (TTM),159030.0
Total Debt/Total Capital (MRQ),0.3311
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),1.29
Interest Coverage (MRQ),6.57
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-02 00:00:00
ford since,2022-09-02 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-11-23 00:00:00
