,FLIC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.79,11.29,Valuation,0.8671390611160319
Price/Sales (TTM),3.43,3.28,Valuation,1.0457317073170733
Price/Book (MRQ),1.22,1.42,Valuation,0.8591549295774649
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.4416,0.3468,Profitability,1.273356401384083
Net Profit Margin (TTM),0.3592,0.2848,Profitability,1.2612359550561798
Annual Dividend Yield,0.0433,0.028999999999999998,Dividend,1.493103448275862
Dividend Change %,0.05480000000000001,-0.0087,Dividend,-6.298850574712645
"Dividend Growth Rate, 3 Years",0.07490000000000001,0.0742,Dividend,1.009433962264151
EPS Growth (MRQ),0.0085,-0.048,Gowth rates,-0.17708333333333334
EPS Growth (TTM),0.0587,-0.10490000000000001,Gowth rates,-0.559580552907531
Revenue Growth (MRQ),0.059000000000000004,0.5294,Gowth rates,0.11144692104268984
Revenue Growth (TTM),0.055999999999999994,0.22469999999999998,Gowth rates,0.24922118380062305
Return On Equity (TTM),0.1182,0.1153,Effectiveness,1.0251517779705117
Return On Assets (TTM),0.011000000000000001,0.0101,Effectiveness,1.0891089108910892
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0009,Financial strength,0.5555555555555556
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
