,HUMA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.6,471.78,Valuation,0.02034846750604095
Price/Sales (TTM),187.65,45.03,Valuation,4.167221852098601
Price/Book (MRQ),2.75,12.61,Valuation,0.21808088818398097
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-49.032700000000006,-4.7459,Profitability,10.331591478960789
Net Profit Margin (TTM),19.713,-4.5467,Profitability,-4.335672025864913
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-1.6916,-0.0014000000000000002,Gowth rates,1208.285714285714
EPS Growth (TTM),1.399,0.027200000000000002,Gowth rates,51.43382352941176
Revenue Growth (MRQ),-0.9762000000000001,1.3963999999999999,Gowth rates,-0.6990833572042396
Revenue Growth (TTM),0.4397,0.9747,Gowth rates,0.4511131630245203
Return On Equity (TTM),0.3531,0.1967,Effectiveness,1.795119471276055
Return On Assets (TTM),0.1297,0.0016,Effectiveness,81.0625
Return On Investment (TTM),0.14,0.0219,Effectiveness,6.392694063926942
Revenue Per Employee (TTM),11932.0,1476201.0,Effectiveness,0.008082910118608509
Total Debt/Total Capital (MRQ),0.2973,0.4675,Financial strength,0.6359358288770053
Change in Debt/Total Capital Quarter over Quarter,0.0062,0.0036,Financial strength,1.722222222222222
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-30.99,2.69,Financial strength,-11.520446096654275
