,HUMA
% Above Low,0.1403
% Held by Institutions,0.1207
52-Wk Range,['2.78 - 11.34']
Annual Dividend $,
Annual Dividend %,
Ask,3.36
Ask Size,4500.0
B/A Ratio,0.044444444444444446
B/A Size,200x4500
Beta,
Bid,3.17
Bid Size,200.0
Closing Price,3.17
Day Change $,-0.07
Day Change %,-0.0216
Day High,3.29
Day Low,3.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.33
Ex-dividend Date,No dividend
Historical Volatility,0.8029999999999999
Last (size),18.0
Last (time),1:00p ET 11/25/22
Market Cap,326.9M
"P/E Ratio (TTM, GAAP)",9.6
Prev Close,3.24
Short Interest,0.08650000000000001
Today's Open,3.22
Volume,157837.0
Volume 10-day Avg,335600.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,2.352941176470588
Growth 2yr High Est,1.9333333333333336
Growth 2yr Consensus Est,2.1431372549019607
Growth 5yr Low Est,2.352941176470588
Growth 5yr High Est,1.9333333333333336
Growth 5yr Consensus Est,2.1431372549019607
Growth 5yr Actual/Est,0.7580492424242424
Growth 3yr Historic,0.0
Price/Earnings (TTM),9.59646
Price/Sales (TTM),187.6496
Price/Book (MRQ),2.754
Price/Cash Flow (TTM),7.69468
5yr Low,2.78
5yr High,17.45
5yr Avg Return,-0.26713333333333333
Short Int Current Month,4601563.0
Short Int Prev Month,5699937.0
Short Int Pct of Float,0.0864821
Days to Cover,12.92458
Float,53.37294
Shares Outstanding,103.1185
Institutions Holding Shares,103.0
FCF Growth 5yr,0.19924087407685612
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",9.6
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-49.032700000000006
Net Profit Margin (TTM),19.713
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.6916
EPS Growth (TTM),1.399
Revenue Growth (MRQ),-0.9762000000000001
Revenue Growth (TTM),0.4397
Return On Equity (TTM),0.3531
Return On Assets (TTM),0.1297
Return On Investment (TTM),0.14
Revenue Per Employee (TTM),11932.0
Total Debt/Total Capital (MRQ),0.2973
Change in Debt/Total Capital Quarter over Quarter,0.0062
Quick Ratio (MRQ),
Interest Coverage (MRQ),-30.99
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-11-21 00:00:00
researchTeam since,2022-11-21 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
