,TDOC
% Above Low,0.1486
% Held by Institutions,0.7975
52-Wk Range,['23.08 - 108.67']
Annual Dividend $,
Annual Dividend %,
Ask,26.59
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.9
Bid,26.45
Bid Size,100.0
Change Since Close,-0.0585| |(-0.22%)
Closing Price,26.51
Day Change $,-1.09
Day Change %,-0.0395
Day High,27.55
Day Low,26.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-61.32
Ex-dividend Date,No dividend
Historical Volatility,0.932
Last (size),200.0
Last (time),3:59p ET 11/28/22
Last Trade,26.45
Market Cap,4.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,27.6
Short Interest,0.1885
Today's Open,27.3
Volume,3924441.0
Volume 10-day Avg,3876293.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,40.6554054054054
Growth 1yr High Est,0.1357142857142859
Growth 1yr Consensus Est,20.395559845559845
Growth 2yr Low Est,19.84643749589005
Growth 2yr High Est,-0.17113656783468095
Growth 2yr Consensus Est,9.837650464027686
Growth 5yr Low Est,9.923218747945025
Growth 5yr High Est,-0.08556828391734048
Growth 5yr Consensus Est,4.918825232013842
Growth 5yr Actual/Est,5.478022717350095
Growth 3yr Historic,0.598346582305862
Price/Earnings (TTM),
Price/Sales (TTM),1.92358
Price/Book (MRQ),0.73961
Price/Cash Flow (TTM),
5yr Low,23.08
5yr High,308.0
5yr Avg Return,0.20940000000000006
EPS Growth 5yr,
Revenue Growth 5yr,0.7519558000000001
Dividend Growth 5yr,
Short Int Current Month,30182610.0
Short Int Prev Month,31465677.0
Short Int Pct of Float,0.18846090000000001
Days to Cover,6.29975
Float,160.1862
Shares Outstanding,161.9271
Institutions Holding Shares,752.0
FCF Growth 5yr,-1.1932844932844933
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6858
Operating Profit Margin (TTM),-4.2520999999999995
Net Profit Margin (TTM),-4.244
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9764
EPS Growth (TTM),-9.6408
Revenue Growth (MRQ),0.032100000000000004
Revenue Growth (TTM),0.2479
Return On Equity (TTM),-0.8948
Return On Assets (TTM),-0.7656999999999999
Return On Investment (TTM),-0.7875
Revenue Per Employee (TTM),455562.0
Total Debt/Total Capital (MRQ),0.2041
Change in Debt/Total Capital Quarter over Quarter,0.0174
Quick Ratio (MRQ),2.99
Interest Coverage (MRQ),-52.11
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-20 00:00:00
theStreet since,2021-12-07 00:00:00
cfra since,2022-02-23 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
