,ADEAV
% Below High,0.13419999999999999
% Held by Institutions,0.9342
52-Wk Range,['3.54 - 11.85']
Annual Dividend $,0.2
Annual Dividend %,0.0195
Ask,12.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,9.0
Bid Size,100.0
Closing Price,10.26
Day Change $,-0.01
Day Change %,-0.001
Day High,10.34
Day Low,10.15
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",-3.65
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,5.267
Last (size),49.0
Last (time),1:00p ET 11/25/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.27
Short Interest,0.024
Today's Open,10.22
Volume,157177.0
Volume 10-day Avg,503374.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.13793103448275856
Growth 1yr High Est,0.014218009478673022
Growth 1yr Consensus Est,-0.06185651250204277
Growth 2yr Low Est,-0.2289655172413793
Growth 2yr High Est,-0.1237321167559906
Growth 2yr Consensus Est,-0.17634881699868496
Growth 5yr Low Est,-0.2289655172413793
Growth 5yr High Est,-0.1237321167559906
Growth 5yr Consensus Est,-0.17634881699868496
Growth 5yr Actual/Est,-0.14400520357939706
Growth 3yr Historic,-0.057855735752244786
Price/Earnings (TTM),
Price/Sales (TTM),1.17569
Price/Book (MRQ),1.08617
Price/Cash Flow (TTM),
5yr Low,6.52
5yr High,28.33
5yr Avg Return,-0.07098333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.2759087
Dividend Growth 5yr,-0.2421417
Short Int Current Month,2449181.0
Short Int Prev Month,3402012.0
Short Int Pct of Float,0.023982999999999997
Days to Cover,3.59616
Float,102.4937
Shares Outstanding,105.0591
Institutions Holding Shares,284.0
FCF Growth 5yr,0.2370738881339883
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-10-09 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,2022-10-09 00:00:00
marketEdge opinion since,
