,CALM
% Below High,0.0765
% Held by Institutions,0.9216
52-Wk Range,['35.10 - 62.64']
Annual Dividend $,1.73
Annual Dividend %,0.029900000000000003
Ask,59.03
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,-0.1
Bid,53.52
Bid Size,300.0
Closing Price,57.85
Day Change $,0.97
Day Change %,0.0171
Day High,57.85
Day Low,56.58
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",5.7
Ex-dividend,2022-10-25 00:00:00
Ex-dividend Date,10/25/22
Historical Volatility,0.34
Last (size),18.0
Last (time),12:59p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",10.16
Prev Close,56.88
Short Interest,0.1721
Today's Open,56.88
Volume,213751.0
Volume 10-day Avg,756124.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-27 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.5857558139534884
Growth 2yr High Est,-0.5840286054827175
Growth 2yr Consensus Est,-0.584892209718103
Growth 5yr Low Est,-0.5857558139534884
Growth 5yr High Est,-0.5840286054827175
Growth 5yr Consensus Est,-0.584892209718103
Growth 5yr Actual/Est,16.846929745903495
Growth 3yr Historic,16.526315789473685
Price/Earnings (TTM),10.15563
Price/Sales (TTM),1.20978
Price/Book (MRQ),2.38231
Price/Cash Flow (TTM),7.42401
5yr Low,30.74
5yr High,62.64
5yr Avg Return,0.05508333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.1058671
Dividend Growth 5yr,
Short Int Current Month,6496868.0
Short Int Prev Month,6568837.0
Short Int Pct of Float,0.17213740000000002
Days to Cover,7.7564
Float,32.94234
Shares Outstanding,44.13585
Institutions Holding Shares,375.0
FCF Growth 5yr,-0.5195584307685889
"Price/Earnings (TTM, GAAP)",10.16
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2618
Operating Profit Margin (TTM),0.16440000000000002
Net Profit Margin (TTM),0.1306
Annual Dividend Yield,0.029900000000000003
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1162
EPS Growth (TTM),78.182
Revenue Growth (MRQ),0.1103
Revenue Growth (TTM),0.528
Return On Equity (TTM),0.2527
Return On Assets (TTM),0.19920000000000002
Return On Investment (TTM),0.226
Revenue Per Employee (TTM),707041.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),2.23
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-23 00:00:00
ford since,2022-07-22 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-23 00:00:00
