,CALM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.16,20.59,Valuation,0.49344341913550266
Price/Sales (TTM),1.21,3.73,Valuation,0.32439678284182305
Price/Book (MRQ),2.38,13.84,Valuation,0.17196531791907513
"PEG Ratio (TTM, GAAP)",,0.09,Valuation,
Gross Profit Margin (TTM),0.2618,0.272,Profitability,0.9624999999999998
Operating Profit Margin (TTM),0.16440000000000002,-0.0195,Profitability,-8.430769230769231
Net Profit Margin (TTM),0.1306,0.0633,Profitability,2.0631911532385465
Annual Dividend Yield,0.029900000000000003,0.022400000000000003,Dividend,1.3348214285714286
Dividend Change %,,0.0626,Dividend,
"Dividend Growth Rate, 3 Years",,0.03,Dividend,
EPS Growth (MRQ),0.1162,0.2782,Gowth rates,0.41768511861969804
EPS Growth (TTM),78.182,2.1703,Gowth rates,36.02359120858868
Revenue Growth (MRQ),0.1103,0.1463,Gowth rates,0.7539302802460697
Revenue Growth (TTM),0.528,0.1387,Gowth rates,3.806777217015141
Return On Equity (TTM),0.2527,0.1827,Effectiveness,1.3831417624521072
Return On Assets (TTM),0.19920000000000002,0.0553,Effectiveness,3.6021699819168176
Return On Investment (TTM),0.226,0.06559999999999999,Effectiveness,3.445121951219513
Revenue Per Employee (TTM),707041.0,841800.0,Effectiveness,0.8399156569256355
Total Debt/Total Capital (MRQ),0.0,0.42450000000000004,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0048,Financial strength,-2.0833333333333335
Quick Ratio (MRQ),2.23,0.77,Financial strength,2.896103896103896
Interest Coverage (MRQ),,6.87,Financial strength,
