,BEAM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),33.93,45.03,Valuation,0.7534976682211858
Price/Book (MRQ),4.37,12.61,Valuation,0.34655035685963526
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-3.4037,-4.7459,Profitability,0.7171874670768453
Net Profit Margin (TTM),-3.1532,-4.5467,Profitability,0.6935139771702553
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.5201,-0.0014000000000000002,Gowth rates,371.49999999999994
EPS Growth (TTM),0.32049999999999995,0.027200000000000002,Gowth rates,11.783088235294114
Revenue Growth (MRQ),-0.0512,1.3963999999999999,Gowth rates,-0.03666571183042109
Revenue Growth (TTM),116.73620000000001,0.9747,Gowth rates,119.76628706268596
Return On Equity (TTM),-0.4023,0.1967,Effectiveness,-2.0452465683782406
Return On Assets (TTM),-0.2313,0.0016,Effectiveness,-144.5625
Return On Investment (TTM),-0.2677,0.0219,Effectiveness,-12.223744292237443
Revenue Per Employee (TTM),269654.0,1476201.0,Effectiveness,0.18266753646691744
Total Debt/Total Capital (MRQ),0.005,0.4675,Financial strength,0.0106951871657754
Change in Debt/Total Capital Quarter over Quarter,-0.0047,0.0036,Financial strength,-1.3055555555555556
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
