,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,100.65,138.52,82.62,,,,,
low,13.0,56.34,27.77,,,,,
change,2.4017,-0.0239,-0.4448,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,560.0,297.0,266.0,157.0,Balance Sheet
Short Term Investments,,,,406.0,926.0,900.0,938.0,Balance Sheet
Cash and Short Term Invs,,,,966.0,1223.0,1166.0,1095.0,Balance Sheet
"Total Receivables, Net",,,,300.0,0.0,0.0,0.0,Balance Sheet
Prepaid Expenses,,,,7.0,17.0,14.0,14.0,Balance Sheet
Total Current Assets,,,,1273.0,1239.0,1180.0,1109.0,Balance Sheet
Buildings,,,,58.0,58.0,58.0,58.0,Balance Sheet
Machinery/Equipment,,,,32.0,37.0,40.0,42.0,Balance Sheet
Construction in Progress,,,,7.0,15.0,27.0,33.0,Balance Sheet
Other Prop./Plant/Equip.,,,,106.0,109.0,121.0,119.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,203.0,219.0,246.0,253.0,Balance Sheet
Accumulated Depreciation,,,,-16.0,-19.0,-23.0,-26.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,187.0,200.0,224.0,227.0,Balance Sheet
Other Long Term Assets,,,,2.0,1.0,2.0,2.0,Balance Sheet
Total Assets,,,,1474.0,1453.0,1418.0,1350.0,Balance Sheet
Accounts Payable,,,,7.0,6.0,7.0,7.0,Balance Sheet
Accrued Expenses,,,,75.0,67.0,47.0,48.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,2.0,2.0,2.0,2.0,Balance Sheet
Customer Advances,,,,86.0,115.0,140.0,160.0,Balance Sheet
Other Current Liabilities,,,,42.0,29.0,16.0,21.0,Balance Sheet
"Other Curr. Lblts, Total",,,,128.0,144.0,156.0,181.0,Balance Sheet
Total Current Liabilities,,,,213.0,219.0,212.0,239.0,Balance Sheet
Total Long Term Debt,,,,3.0,2.0,2.0,1.0,Balance Sheet
Total Debt,,,,5.0,5.0,4.0,4.0,Balance Sheet
"Other Liabilities, Total",,,,431.0,403.0,404.0,396.0,Balance Sheet
Total Liabilities,,,,648.0,624.0,618.0,636.0,Balance Sheet
Redeemable Preferred Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,1594.0,1669.0,1713.0,1737.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-768.0,-837.0,-909.0,-1019.0,Balance Sheet
"Other Equity, Total",,,,0.0,-3.0,-4.0,-5.0,Balance Sheet
Total Equity,,,,827.0,829.0,800.0,714.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1474.0,1453.0,1418.0,1350.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,68.0,70.0,70.0,70.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
