,BEAM
% Above Low,0.5945
% Held by Institutions,0.8554999999999999
52-Wk Range,['27.77 - 88.18']
Annual Dividend $,
Annual Dividend %,
Ask,44.63
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,44.02
Bid Size,100.0
Closing Price,44.28
Day Change $,-1.42
Day Change %,-0.0311
Day High,45.53
Day Low,44.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.54
Ex-dividend Date,No dividend
Historical Volatility,0.91
Last (size),15.0
Last (time),12:59p ET 11/25/22
Market Cap,3.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,45.7
Short Interest,0.1882
Today's Open,45.03
Volume,206841.0
Volume 10-day Avg,782274.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.16504854368932032
Growth 1yr High Est,-0.169921875
Growth 1yr Consensus Est,-0.16748520934466016
Growth 2yr Low Est,0.04441371265146388
Growth 2yr High Est,-0.09201976102941173
Growth 2yr Consensus Est,-0.023803024188973926
Growth 5yr Low Est,0.04441371265146388
Growth 5yr High Est,-0.09201976102941173
Growth 5yr Consensus Est,-0.023803024188973926
Growth 5yr Actual/Est,-0.08634342392620309
Growth 3yr Historic,-0.08117276348533625
Price/Earnings (TTM),
Price/Sales (TTM),33.93472
Price/Book (MRQ),4.36664
Price/Cash Flow (TTM),
5yr Low,13.0
5yr High,138.52
5yr Avg Return,0.6443333333333334
Short Int Current Month,13013244.0
Short Int Prev Month,13100529.0
Short Int Pct of Float,0.1881537
Days to Cover,12.06999
Float,69.16283
Shares Outstanding,70.46896
Institutions Holding Shares,301.0
FCF Growth 5yr,-1.281901587973149
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-3.4037
Net Profit Margin (TTM),-3.1532
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5201
EPS Growth (TTM),0.32049999999999995
Revenue Growth (MRQ),-0.0512
Revenue Growth (TTM),116.73620000000001
Return On Equity (TTM),-0.4023
Return On Assets (TTM),-0.2313
Return On Investment (TTM),-0.2677
Revenue Per Employee (TTM),269654.0
Total Debt/Total Capital (MRQ),0.005
Change in Debt/Total Capital Quarter over Quarter,-0.0047
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-03-09 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-03-09 00:00:00
marketEdge opinion since,
