,KDP
% Below High,0.0741
% Held by Institutions,0.5329999999999999
52-Wk Range,['33.35 - 41.31']
Annual Dividend $,0.8
Annual Dividend %,0.0209
Ask,38.43
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,38.07
Bid Size,100.0
Closing Price,38.25
Day Change $,-0.07
Day Change %,-0.0018
Day High,38.41
Day Low,38.12
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",1.28
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.214
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,54.2B
"P/E Ratio (TTM, GAAP)",29.97
Prev Close,38.32
Short Interest,0.021
Today's Open,38.25
Volume,3574330.0
Volume 10-day Avg,7434248.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.056962025316455556
Growth 1yr High Est,0.06832298136645965
Growth 1yr Consensus Est,0.0626425033414576
Growth 2yr Low Est,0.061415144394754706
Growth 2yr High Est,0.09811497905532285
Growth 2yr Consensus Est,0.07976506172503878
Growth 5yr Low Est,0.10207031671250905
Growth 5yr High Est,0.12061998952766145
Growth 5yr Consensus Est,0.11134515312008525
Growth 5yr Actual/Est,0.1088513807283511
Growth 3yr Historic,0.07259953161592508
Price/Earnings (TTM),29.96756
Price/Sales (TTM),3.97007
Price/Book (MRQ),2.15806
Price/Cash Flow (TTM),22.92493
5yr Low,18.98
5yr High,126.65
5yr Avg Return,-0.03020000000000002
EPS Growth 5yr,-0.1976653
Revenue Growth 5yr,0.1451628
Dividend Growth 5yr,-0.1959375
Short Int Current Month,18424666.0
Short Int Prev Month,20380881.0
Short Int Pct of Float,0.0209707
Days to Cover,2.0935
Float,885.7806
Shares Outstanding,1416.251
Institutions Holding Shares,929.0
FCF Growth 5yr,0.30580510985909326
"Price/Earnings (TTM, GAAP)",29.97
"PEG Ratio (TTM, GAAP)",4.28
Gross Profit Margin (TTM),0.5213
Operating Profit Margin (TTM),0.17670000000000002
Net Profit Margin (TTM),0.1336
Annual Dividend Yield,0.0209
Dividend Change %,0.1875
"Dividend Growth Rate, 3 Years",-0.068
EPS Growth (MRQ),-0.1743
EPS Growth (TTM),0.046
Revenue Growth (MRQ),0.0191
Revenue Growth (TTM),0.0993
Return On Equity (TTM),0.0737
Return On Assets (TTM),0.0358
Return On Investment (TTM),0.041600000000000005
Revenue Per Employee (TTM),496182.0
Total Debt/Total Capital (MRQ),0.3311
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),0.4
Interest Coverage (MRQ),3.6
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-07-30 00:00:00
researchTeam since,2021-07-30 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-28 00:00:00
ford since,2021-02-12 00:00:00
marketEdge opinion since,
