,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,15.86,8.77,,,,,
low,7.91,1.94,,,,,
change,-0.2168,-0.7631,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,1550.0,1493.0,1377.0,1303.0,Balance Sheet
"Trade Accts Recvble, Net",,,136.0,171.0,175.0,116.0,Balance Sheet
Notes Recvble - Short Term,,,12.0,,,,Balance Sheet
Other Receivables,,,2.0,,,,Balance Sheet
"Total Receivables, Net",,,150.0,171.0,175.0,116.0,Balance Sheet
Invent. - Finished Goods,,,3.0,8.0,8.0,6.0,Balance Sheet
Invent. - Work In Progress,,,0.0,0.0,0.0,0.0,Balance Sheet
Invent. - Raw Materials,,,0.0,1.0,1.0,1.0,Balance Sheet
LIFO Reserve,,,0.0,0.0,0.0,-1.0,Balance Sheet
Total Inventory,,,3.0,9.0,8.0,6.0,Balance Sheet
Prepaid Expenses,,,19.0,33.0,39.0,38.0,Balance Sheet
"Other Curr. Assets, Total",,,1.0,,,,Balance Sheet
Total Current Assets,,,1723.0,1706.0,1599.0,1462.0,Balance Sheet
Buildings,,,55.0,56.0,56.0,56.0,Balance Sheet
Machinery/Equipment,,,124.0,129.0,135.0,134.0,Balance Sheet
Construction in Progress,,,10.0,17.0,47.0,64.0,Balance Sheet
Other Prop./Plant/Equip.,,,17.0,17.0,17.0,18.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,207.0,219.0,254.0,271.0,Balance Sheet
Accumulated Depreciation,,,-61.0,-70.0,-78.0,-83.0,Balance Sheet
Prop./Plant/Equip. - Net,,,146.0,149.0,176.0,188.0,Balance Sheet
"Goodwill, Net",,,21.0,21.0,31.0,29.0,Balance Sheet
Intangibles - Gross,,,,25.0,44.0,53.0,Balance Sheet
Accum. Intangible Amort.,,,,-4.0,-5.0,-6.0,Balance Sheet
Intangibles - Net,,,22.0,21.0,39.0,48.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,13.0,8.0,7.0,4.0,Balance Sheet
LT Investments - Other,,,102.0,103.0,89.0,96.0,Balance Sheet
Long Term Investments,,,115.0,111.0,96.0,100.0,Balance Sheet
Note Rcvble - Long Term,,,0.0,,,,Balance Sheet
Other Long Term Assets,,,44.0,50.0,53.0,44.0,Balance Sheet
Total Assets,,,2071.0,2058.0,1994.0,1871.0,Balance Sheet
Accounts Payable,,,8.0,35.0,19.0,11.0,Balance Sheet
Accrued Expenses,,,93.0,89.0,70.0,73.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,33.0,35.0,46.0,41.0,Balance Sheet
Total Current Liabilities,,,135.0,159.0,135.0,125.0,Balance Sheet
Total Long Term Debt,,,22.0,27.0,52.0,60.0,Balance Sheet
Total Debt,,,22.0,27.0,52.0,60.0,Balance Sheet
Minority Interest,,,62.0,33.0,32.0,5.0,Balance Sheet
"Other Liabilities, Total",,,347.0,257.0,241.0,246.0,Balance Sheet
Total Liabilities,,,566.0,477.0,459.0,436.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,3805.0,4471.0,5098.0,5669.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-2298.0,-2888.0,-3557.0,-4226.0,Balance Sheet
"Other Equity, Total",,,-2.0,-2.0,-5.0,-8.0,Balance Sheet
Total Equity,,,1505.0,1581.0,1535.0,1435.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,2071.0,2058.0,1994.0,1871.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,1274.0,990.0,1001.0,1097.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,337.0,344.0,347.0,351.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 3,,,,288.0,288.0,200.0,Balance Sheet
