,DNA
% Above Low,0.0258
% Held by Institutions,0.8776
52-Wk Range,['1.94 - 12.48']
Annual Dividend $,
Annual Dividend %,
Ask,2.0
Ask Size,1800.0
B/A Ratio,0.3333333333333333
B/A Size,600x1800
Beta,
Bid,1.98
Bid Size,600.0
Closing Price,1.99
Day Change $,0.01
Day Change %,0.0051
Day High,2.01
Day Low,1.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.23
Ex-dividend Date,No dividend
Historical Volatility,1.0590000000000002
Last (size),2000.0
Last (time),5:00p ET 11/25/22
Market Cap,3.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,1.98
Short Interest,0.13140000000000002
Today's Open,1.98
Volume,9688797.0
Volume 10-day Avg,30812268.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6283783783783783
Growth 2yr High Est,-0.7744360902255639
Growth 2yr Consensus Est,-0.701407234301971
Growth 5yr Low Est,-0.6283783783783783
Growth 5yr High Est,-0.7744360902255639
Growth 5yr Consensus Est,-0.701407234301971
Growth 5yr Actual/Est,-0.33439079169006175
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),5.76676
Price/Book (MRQ),2.28617
Price/Cash Flow (TTM),
5yr Low,1.94
5yr High,15.86
5yr Avg Return,-0.48995000000000005
Short Int Current Month,124380963.0
Short Int Prev Month,134218311.0
Short Int Pct of Float,0.1314109
Days to Cover,5.07608
Float,573.6418
Shares Outstanding,1529.828
Institutions Holding Shares,328.0
FCF Growth 5yr,1.2984507453960832
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5443
Operating Profit Margin (TTM),-6.871
Net Profit Margin (TTM),-6.7002999999999995
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0059
EPS Growth (TTM),-12.144100000000002
Revenue Growth (MRQ),-0.5409
Revenue Growth (TTM),1.6743000000000001
Return On Equity (TTM),-2.3635
Return On Assets (TTM),-1.7591999999999999
Return On Investment (TTM),-1.8941999999999999
Revenue Per Employee (TTM),823580.0
Total Debt/Total Capital (MRQ),0.039900000000000005
Change in Debt/Total Capital Quarter over Quarter,0.0323
Quick Ratio (MRQ),11.67
Interest Coverage (MRQ),-34.37
researchTeam,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-15 00:00:00
cfra since,
theStreet since,2022-11-15 00:00:00
newConstructs since,
ford since,2022-10-28 00:00:00
marketEdge opinion since,
