,DNA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,20.13,Valuation,
Price/Sales (TTM),5.77,3.27,Valuation,1.7645259938837918
Price/Book (MRQ),2.29,5.58,Valuation,0.4103942652329749
"PEG Ratio (TTM, GAAP)",,0.12,Valuation,
Gross Profit Margin (TTM),0.5443,0.3453,Profitability,1.5763104546770925
Operating Profit Margin (TTM),-6.871,0.0535,Profitability,-128.42990654205607
Net Profit Margin (TTM),-6.7002999999999995,0.0204,Profitability,-328.4460784313725
Annual Dividend Yield,,0.0188,Dividend,
Dividend Change %,,0.102,Dividend,
"Dividend Growth Rate, 3 Years",,0.06910000000000001,Dividend,
EPS Growth (MRQ),0.0059,-0.6111,Gowth rates,-0.009654720994927181
EPS Growth (TTM),-12.144100000000002,1.725,Gowth rates,-7.040057971014494
Revenue Growth (MRQ),-0.5409,0.212,Gowth rates,-2.5514150943396228
Revenue Growth (TTM),1.6743000000000001,0.23420000000000002,Gowth rates,7.149017933390264
Return On Equity (TTM),-2.3635,0.2206,Effectiveness,-10.713961922030826
Return On Assets (TTM),-1.7591999999999999,0.06420000000000001,Effectiveness,-27.4018691588785
Return On Investment (TTM),-1.8941999999999999,0.08410000000000001,Effectiveness,-22.523186682520805
Revenue Per Employee (TTM),823580.0,817013.0,Effectiveness,1.0080378157997485
Total Debt/Total Capital (MRQ),0.039900000000000005,0.4105,Financial strength,0.0971985383678441
Change in Debt/Total Capital Quarter over Quarter,0.0323,0.001,Financial strength,32.300000000000004
Quick Ratio (MRQ),11.67,1.18,Financial strength,9.889830508474576
Interest Coverage (MRQ),-34.37,26.2,Financial strength,-1.3118320610687022
