,CDE
% Above Low,0.3386
% Held by Institutions,0.7292000000000001
52-Wk Range,['2.54 - 6.01']
Annual Dividend $,
Annual Dividend %,
Ask,3.6
Ask Size,200.0
B/A Ratio,10.0
B/A Size,2000x200
Beta,1.5
Bid,3.36
Bid Size,2000.0
Closing Price,3.4
Day Change $,-0.01
Day Change %,-0.0029
Day High,3.43
Day Low,3.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.5
Ex-dividend Date,No dividend
Historical Volatility,0.752
Last (size),75.0
Last (time),5:00p ET 11/25/22
Market Cap,950.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,3.41
Short Interest,0.0559
Today's Open,3.41
Volume,1786827.0
Volume 10-day Avg,5999117.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-3.111111111111111
Growth 1yr High Est,-1.870967741935484
Growth 1yr Consensus Est,-2.4910394265232974
Growth 2yr Low Est,-1.726608187134503
Growth 2yr High Est,-1.6391875746714457
Growth 2yr Consensus Est,-1.6828978809029742
Growth 5yr Low Est,-1.2633040935672515
Growth 5yr High Est,-1.4065503090748532
Growth 5yr Consensus Est,-1.3349272013210522
Growth 5yr Actual/Est,6.547970430107528
Growth 3yr Historic,-0.7504166666666667
Price/Earnings (TTM),
Price/Sales (TTM),1.21928
Price/Book (MRQ),1.16219
Price/Cash Flow (TTM),
5yr Low,1.98
5yr High,12.6
5yr Avg Return,-0.037000000000000005
EPS Growth 5yr,
Revenue Growth 5yr,0.0780713
Dividend Growth 5yr,
Short Int Current Month,15453619.0
Short Int Prev Month,15071764.0
Short Int Pct of Float,0.0559026
Days to Cover,2.4356
Float,276.6044
Shares Outstanding,280.9389
Institutions Holding Shares,261.0
FCF Growth 5yr,0.32047831929960335
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2576
Operating Profit Margin (TTM),-0.0414
Net Profit Margin (TTM),-0.1761
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2583
EPS Growth (TTM),-15.3626
Revenue Growth (MRQ),-0.1035
Revenue Growth (TTM),-0.0819
Return On Equity (TTM),-0.16870000000000002
Return On Assets (TTM),-0.07690000000000001
Return On Investment (TTM),-0.0893
Revenue Per Employee (TTM),372163.0
Total Debt/Total Capital (MRQ),0.4362
Change in Debt/Total Capital Quarter over Quarter,0.0026000000000000003
Quick Ratio (MRQ),1.5
Interest Coverage (MRQ),-0.52
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-05-21 00:00:00
ford since,2022-08-05 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-12-30 00:00:00
