,ITGR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",35.15,61.36,Valuation,0.5728487614080834
Price/Sales (TTM),1.81,9.8,Valuation,0.1846938775510204
Price/Book (MRQ),1.76,10.31,Valuation,0.17070805043646944
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.2611,0.6196,Profitability,0.42140090380890893
Operating Profit Margin (TTM),0.0859,0.047,Profitability,1.8276595744680852
Net Profit Margin (TTM),0.0518,0.009300000000000001,Profitability,5.569892473118279
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-0.22899999999999998,-0.4858,Gowth rates,0.471387402223137
EPS Growth (TTM),-0.2303,-0.2029,Gowth rates,1.1350418925579104
Revenue Growth (MRQ),-0.0211,0.1161,Gowth rates,-0.18173987941429803
Revenue Growth (TTM),0.1187,0.18300000000000002,Gowth rates,0.6486338797814207
Return On Equity (TTM),0.050800000000000005,0.1068,Effectiveness,0.4756554307116105
Return On Assets (TTM),0.0268,0.0622,Effectiveness,0.43086816720257237
Return On Investment (TTM),0.028900000000000002,0.0732,Effectiveness,0.39480874316939896
Revenue Per Employee (TTM),146299.0,403586.0,Effectiveness,0.3624977080473555
Total Debt/Total Capital (MRQ),0.4092,0.3161,Financial strength,1.2945270484024043
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004,0.0125,Financial strength,0.22400000000000003
Quick Ratio (MRQ),1.74,2.25,Financial strength,0.7733333333333333
Interest Coverage (MRQ),2.44,14.99,Financial strength,0.16277518345563707
