,ITGR
% Below High,0.1869
% Held by Institutions,1.0056
52-Wk Range,['50.05 - 88.58']
Annual Dividend $,
Annual Dividend %,
Ask,115.61
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,72.02
Day Change $,0.59
Day Change %,0.0083
Day High,72.45
Day Low,71.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.05
Ex-dividend Date,No dividend
Historical Volatility,0.385
Last (size),271.0
Last (time),5:00p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.15
Prev Close,71.43
Short Interest,0.0222
Today's Open,71.64
Volume,85802.0
Volume 10-day Avg,181746.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.033333333333333326
Growth 1yr High Est,-0.05432098765432092
Growth 1yr Consensus Est,-0.04382716049382712
Growth 2yr Low Est,0.050972590627763104
Growth 2yr High Est,0.03680817458015029
Growth 2yr Consensus Est,0.043890382603956696
Growth 5yr Low Est,-0.011631608616249456
Growth 5yr High Est,-0.012440068554080724
Growth 5yr Consensus Est,-0.01203583858516509
Growth 5yr Actual/Est,0.03193900649850062
Growth 3yr Historic,0.01620113240149343
Price/Earnings (TTM),35.15349
Price/Sales (TTM),1.81219
Price/Book (MRQ),1.76087
Price/Cash Flow (TTM),15.12139
5yr Low,42.5
5yr High,101.61
5yr Avg Return,0.0933
EPS Growth 5yr,0.2834209
Revenue Growth 5yr,0.0257145
Dividend Growth 5yr,
Short Int Current Month,723930.0
Short Int Prev Month,736538.0
Short Int Pct of Float,0.0221718
Days to Cover,3.70319
Float,32.70147
Shares Outstanding,33.13099
Institutions Holding Shares,294.0
FCF Growth 5yr,0.18317193311493007
"Price/Earnings (TTM, GAAP)",35.15
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2611
Operating Profit Margin (TTM),0.0859
Net Profit Margin (TTM),0.0518
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.22899999999999998
EPS Growth (TTM),-0.2303
Revenue Growth (MRQ),-0.0211
Revenue Growth (TTM),0.1187
Return On Equity (TTM),0.050800000000000005
Return On Assets (TTM),0.0268
Return On Investment (TTM),0.028900000000000002
Revenue Per Employee (TTM),146299.0
Total Debt/Total Capital (MRQ),0.4092
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004
Quick Ratio (MRQ),1.74
Interest Coverage (MRQ),2.44
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-11-20 00:00:00
researchTeam since,2022-10-30 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-04-03 00:00:00
ford since,2022-06-17 00:00:00
marketEdge opinion since,
