,EBC
% Above Low,0.0723
% Held by Institutions,0.642
52-Wk Range,['17.98 - 22.35']
Annual Dividend $,0.4
Annual Dividend %,0.0207
Ask,19.45
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,
Bid,19.28
Bid Size,300.0
Closing Price,19.28
Day Change $,0.18
Day Change %,0.009399999999999999
Day High,19.41
Day Low,19.12
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.15
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.256
Last (size),74.0
Last (time),12:59p ET 11/25/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",16.8
Prev Close,19.1
Short Interest,0.0139
Today's Open,19.22
Volume,168576.0
Volume 10-day Avg,531017.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.31182795698924726
Growth 1yr High Est,0.2596153846153846
Growth 1yr Consensus Est,0.2857216708023159
Growth 2yr Low Est,0.2870615194782302
Growth 2yr High Est,0.2595786846741045
Growth 2yr Consensus Est,0.27332010207616736
Growth 5yr Low Est,0.2870615194782302
Growth 5yr High Est,0.2595786846741045
Growth 5yr Consensus Est,0.27332010207616736
Growth 5yr Actual/Est,0.40702089418623477
Growth 3yr Historic,0.21468926553672318
Price/Earnings (TTM),16.7994
Price/Sales (TTM),4.72356
Price/Book (MRQ),1.41855
Price/Cash Flow (TTM),16.3673
5yr Low,11.74
5yr High,23.03
5yr Avg Return,0.17103333333333334
Short Int Current Month,2422389.0
Short Int Prev Month,2985772.0
Short Int Pct of Float,0.0138806
Days to Cover,2.9788
Float,174.5134
Shares Outstanding,176.6785
Institutions Holding Shares,275.0
FCF Growth 5yr,0.41216621542708504
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",16.8
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.33
Net Profit Margin (TTM),0.267
Annual Dividend Yield,0.0207
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.08710000000000001
EPS Growth (TTM),1.4106
Revenue Growth (MRQ),0.1204
Revenue Growth (TTM),0.3375
Return On Equity (TTM),0.0659
Return On Assets (TTM),0.0097
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
theStreet since,2022-11-15 00:00:00
newConstructs since,
marketEdge opinion since,
