,RMR
% Above Low,0.2443
% Held by Institutions,0.8284999999999999
52-Wk Range,['23.00 - 36.45']
Annual Dividend $,1.6
Annual Dividend %,0.0557
Ask,28.63
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,28.55
Bid Size,100.0
Day Change $,-0.08
Day Change %,-0.0028000000000000004
Day High,28.75
Day Low,28.52
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",2.04
Ex-dividend,2022-10-21 00:00:00
Ex-dividend Date,10/21/22
Historical Volatility,0.278
Last (size),100.0
Last (time),12:54p ET 11/28/22
Market Cap,475.3M
"P/E Ratio (TTM, GAAP)",14.07
Prev Close,28.7
Price,28.62
Short Interest,0.0173
Today's Open,28.63
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.22543352601156075
Growth 1yr High Est,0.19565217391304346
Growth 1yr Consensus Est,0.2105428499623021
Growth 2yr Low Est,0.13158468753408226
Growth 2yr High Est,0.134189723320158
Growth 2yr Consensus Est,0.13288720542712013
Growth 5yr Low Est,0.06579234376704113
Growth 5yr High Est,0.067094861660079
Growth 5yr Consensus Est,0.06644360271356006
Growth 5yr Actual/Est,0.06947638995159222
Growth 3yr Historic,0.0408816187097622
Price/Earnings (TTM),14.06759
Price/Sales (TTM),1.08959
Price/Book (MRQ),4.39014
Price/Cash Flow (TTM),11.56096
5yr Low,21.79
5yr High,98.0
5yr Avg Return,-0.11056666666666666
EPS Growth 5yr,-0.0491596
Revenue Growth 5yr,0.2509798
Dividend Growth 5yr,0.0958003
Short Int Current Month,263816.0
Short Int Prev Month,313017.0
Short Int Pct of Float,0.0173204
Days to Cover,2.33797
Float,15.23154
Shares Outstanding,31.60574
Institutions Holding Shares,241.0
FCF Growth 5yr,0.44781961485948174
"Price/Earnings (TTM, GAAP)",14.07
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3168
Operating Profit Margin (TTM),0.1061
Net Profit Margin (TTM),0.0931
Annual Dividend Yield,0.055700000000000006
Dividend Change %,0.0395
"Dividend Growth Rate, 3 Years",0.0338
EPS Growth (MRQ),0.5445000000000001
EPS Growth (TTM),-0.050199999999999995
Revenue Growth (MRQ),0.1474
Revenue Growth (TTM),0.371
Return On Equity (TTM),0.16760000000000003
Return On Assets (TTM),0.1489
Return On Investment (TTM),0.29
Revenue Per Employee (TTM),21908.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-01-14 00:00:00
theStreet since,2022-02-07 00:00:00
ford since,2022-01-14 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
