,RMR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.07,-128.31,Valuation,-0.10965630114566285
Price/Sales (TTM),1.09,1.78,Valuation,0.6123595505617978
Price/Book (MRQ),4.39,2.29,Valuation,1.9170305676855894
"PEG Ratio (TTM, GAAP)",,-1.83,Valuation,
Gross Profit Margin (TTM),0.3168,0.2696,Profitability,1.1750741839762613
Operating Profit Margin (TTM),0.1061,-0.2328,Profitability,-0.45575601374570446
Net Profit Margin (TTM),0.0931,-0.1213,Profitability,-0.7675185490519373
Annual Dividend Yield,0.055700000000000006,0.0044,Dividend,12.65909090909091
Dividend Change %,0.0395,0.0943,Dividend,0.41887592788971373
"Dividend Growth Rate, 3 Years",0.0338,-0.0072,Dividend,-4.694444444444444
EPS Growth (MRQ),0.5445000000000001,1.0171,Gowth rates,0.5353455904040902
EPS Growth (TTM),-0.050199999999999995,0.7006,Gowth rates,-0.07165286896945475
Revenue Growth (MRQ),0.1474,0.16149999999999998,Gowth rates,0.9126934984520125
Revenue Growth (TTM),0.371,0.44439999999999996,Gowth rates,0.8348334833483348
Return On Equity (TTM),0.16760000000000003,0.0932,Effectiveness,1.7982832618025753
Return On Assets (TTM),0.1489,0.0415,Effectiveness,3.5879518072289156
Return On Investment (TTM),0.29,0.0722,Effectiveness,4.016620498614958
Revenue Per Employee (TTM),21908.0,1051798.0,Effectiveness,0.02082909455998205
Total Debt/Total Capital (MRQ),0.0,0.5311,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0005,Financial strength,
Quick Ratio (MRQ),,0.08,Financial strength,
Interest Coverage (MRQ),,3.44,Financial strength,
